,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
26,"[-1.03466677e-22  9.61182300e-23  6.04539425e-23 ... -7.65152815e-23
 -1.08415121e-23  3.85373665e-23]",112.0,53.0,2,0.465,0.411,610,5.546522787427934
27,"[-1.26677123e-22  2.69473034e-23 -1.00358009e-22 ...  5.65598458e-23
 -5.17575695e-23  5.12591107e-23]",131.0,39.0,0,0.439,0.616,610,4.234863652553943
28,"[ 2.36066587e-22 -1.97870198e-22  1.13440535e-22 ...  2.67132657e-22
 -1.30037777e-22 -9.29744918e-24]",125.0,13.0,0,0.005,0.73,610,1.6213575053518638
29,"[ 1.64377610e-23  1.83858563e-22 -1.77007834e-22 ...  7.19648564e-23
 -1.26543732e-22  3.18693381e-22]",38.0,30.0,2,0.423,0.79,610,2.231778977995388
30,"[-7.96506445e-23  2.57849436e-22 -2.18508782e-22 ... -5.17147393e-23
 -3.26805571e-23  7.01424402e-23]",85.0,42.0,1,0.033,0.304,610,3.6424364120408006
31,"[-1.91443226e-22 -3.01057488e-24 -1.55224147e-23 ...  2.69611829e-23
  3.32803997e-23 -7.50061844e-23]",132.0,122.0,2,0.558,0.162,610,8.878479383945354
32,"[ 2.30861255e-23  1.02435595e-22  8.06187637e-23 ... -1.62988268e-23
 -6.21005170e-23 -8.72335887e-24]",123.0,91.744,1,0.019,0.313,610,6.645916833382678
33,"[ 2.96789011e-22  6.08474963e-23 -1.71557831e-22 ... -3.00378226e-23
  1.16356667e-22 -1.11426514e-22]",134.0,78.0,2,0.677,0.111,610,7.013722400064396
34,"[-5.20265314e-23  2.77922483e-23 -1.03112649e-22 ... -2.70819729e-22
  8.86715176e-23 -1.57933350e-22]",135.0,106.0,0,0.122,0.024,610,9.035351272259701
35,"[ 2.88954850e-22 -2.72212282e-23  2.23113886e-23 ... -4.67642197e-23
  1.30810075e-23 -2.60811775e-22]",143.0,78.0,2,0.52,0.168,610,6.790913178194843
36,"[ 1.38926523e-22 -1.64893550e-22  5.41693243e-23 ...  5.17217355e-23
 -1.85738762e-22  6.66350959e-23]",118.0,78.0,0,0.563,0.584,610,7.002559698140892
37,"[-6.60975437e-23  6.03910539e-24 -2.18009951e-22 ...  1.93771857e-22
 -7.42162997e-23  6.38437938e-23]",138.0,54.0,2,0.08,0.372,610,5.062494559703068
38,"[-2.33465123e-22 -9.30662287e-23 -8.21416500e-23 ... -7.66703051e-23
 -1.47099052e-22 -1.01580946e-23]",109.0,59.0,2,0.166,0.443,610,4.95857396427275
39,"[ 7.69656062e-24  8.61709387e-23 -1.71457651e-22 ...  8.97907236e-23
 -1.43998455e-22 -5.51030183e-23]",134.0,111.0,0,0.082,0.087,610,8.167594491707352
40,"[-5.06202365e-23 -4.78342043e-23 -1.74830698e-22 ...  1.93369211e-22
  3.32723876e-23 -9.85564009e-23]",73.0,53.0,1,0.293,0.669,610,3.8100756568479506
41,"[ 1.41666230e-22 -1.42026047e-22  8.86094881e-23 ...  8.53510345e-23
 -1.23734317e-22  3.50545149e-22]",147.0,103.0,1,0.783,0.183,610,7.702134693843866
42,"[ 2.62024649e-23 -1.86734996e-22  2.40726707e-22 ...  7.32060131e-23
 -3.64573902e-23 -8.67313589e-23]",65.0,51.0,1,0.487,0.373,610,3.561973536696995
43,"[ 4.08220289e-23  5.49734194e-23  6.73956112e-23 ... -2.26241059e-23
  7.01475193e-23  9.32211675e-23]",140.0,67.0,1,0.428,0.115,610,6.25644471487443
44,"[-1.81788354e-22 -6.04965485e-23  2.17330985e-22 ...  2.21538133e-22
  7.37873420e-23  1.22380660e-22]",150.0,112.0,2,0.637,0.646,610,8.150057797480065
45,"[-1.14345850e-22  6.01738222e-23 -1.36185540e-22 ...  2.96898876e-22
 -2.11456506e-22 -1.63835508e-23]",102.0,48.0,1,0.56,0.365,610,4.271360171992907
46,"[-2.14348934e-23 -7.14796519e-23  1.62144433e-22 ... -6.82389391e-23
 -1.03651399e-22  8.04470571e-23]",111.0,3.0,0,0.318,0.283,610,0.3335574140274122
47,"[ 1.43035560e-22 -2.04153772e-22  6.98536211e-23 ... -5.33468008e-23
  7.74704892e-23  1.25641863e-22]",76.0,27.0,2,0.648,0.281,610,2.504755009090226
48,"[ 4.41722288e-23 -1.30120410e-22 -4.88509143e-23 ...  2.06799814e-22
 -1.30736085e-22 -6.14580353e-23]",35.0,3.0,1,0.334,0.206,610,0.3436902302017387
49,"[ 6.26375036e-23 -2.41124264e-22  4.81470908e-23 ... -1.64818632e-22
  6.96262308e-25 -3.57778611e-22]",59.0,15.0,0,0.001,0.211,610,1.5892046188842097
50,"[ 3.93243910e-23 -2.49353450e-22 -1.05467607e-23 ...  7.02374366e-23
 -2.49108318e-23  9.98325300e-24]",117.0,10.0,0,0.459,0.172,610,1.158857842875821
51,"[ 6.87122813e-23 -7.89832926e-24 -6.25128548e-23 ... -2.69648472e-22
  3.58900176e-23  1.48756252e-22]",127.0,112.0,0,0.15,0.437,610,8.387024901385013
52,"[-1.12864741e-22  9.32511173e-23 -2.37356489e-23 ... -2.25783763e-22
  1.96136998e-22 -1.11704560e-22]",110.0,53.481,0,0.038,0.599,610,4.573116761709039
53,"[-5.76092110e-23 -2.78564518e-22 -1.18811375e-22 ...  4.52450759e-23
  3.38364193e-23  1.50404951e-22]",116.0,57.0,0,0.744,0.06,610,5.309836572751084
54,"[ 7.51387914e-23 -1.89980618e-22 -1.11975365e-22 ...  8.63149702e-23
  4.17940267e-23  9.67712557e-23]",131.0,38.0,0,0.114,0.711,610,3.8131268988112277
55,"[-2.57335859e-22 -1.22100950e-22  9.83853007e-24 ... -4.79256069e-23
  3.88108249e-23 -8.95372167e-23]",150.0,47.0,1,0.233,0.688,610,4.013406669414998
56,"[-6.05022324e-23 -7.62566370e-23  8.93230375e-23 ...  8.87743215e-23
 -1.29864236e-22 -4.73262761e-24]",120.0,78.0,1,0.61,0.13,610,6.393946174690113
57,"[-6.31783725e-23  1.32877242e-22  8.66726546e-23 ...  5.10104885e-23
  2.82577478e-23  1.48658636e-22]",135.0,129.0,1,0.252,0.64,610,8.787567841764796
58,"[ 2.61517309e-23 -1.61770739e-22 -1.66468764e-22 ... -1.53358644e-22
  1.28963212e-22  1.19567364e-22]",60.0,13.0,0,0.507,0.104,610,1.2302481244339256
59,"[ 5.84652122e-23 -2.07916993e-22 -2.60663613e-22 ... -7.29968311e-23
  2.14397768e-22 -2.44442993e-22]",124.0,32.0,0,0.388,0.213,610,3.5975874944302118
60,"[-1.07203128e-22  1.02373638e-23  6.17732026e-23 ... -2.98809839e-22
  2.09923540e-22 -7.96123577e-24]",81.0,63.0,0,0.02,0.546,610,4.948596862440442
61,"[ 1.09596147e-22 -9.20881235e-23 -1.23643555e-22 ...  3.57719240e-23
 -9.56096900e-23  1.46286804e-22]",146.0,120.0,0,0.301,0.418,610,9.710668203003245
62,"[-2.10254652e-23  1.06150318e-22 -1.82038012e-22 ...  2.62338921e-22
  2.73834795e-23 -6.66704395e-23]",138.0,78.0,1,0.467,0.149,610,7.037493109684906
63,"[ 1.36351365e-22 -2.10380635e-22  1.81166822e-22 ...  3.02288910e-23
  7.21128112e-25  2.05948189e-22]",105.0,97.0,0,0.469,0.64,610,6.600000980480545
64,"[-1.30163434e-22  1.05671172e-22  1.32062971e-22 ... -8.60901030e-23
  1.83147063e-22 -1.05012384e-23]",148.0,133.0,1,0.19,0.062,610,9.222297101679455
65,"[ 2.36508866e-22 -7.37051424e-23 -2.44853629e-23 ...  7.14803821e-23
 -5.51694170e-24  4.82217617e-23]",138.0,103.0,2,0.586,0.403,610,8.14046867285392
66,"[-2.09298780e-22 -5.71589632e-23 -1.10907981e-22 ...  7.22326812e-23
 -1.23886884e-22  3.48257730e-23]",36.0,24.0,1,0.138,0.395,610,1.9593427036008872
67,"[-2.20017051e-22  4.85079396e-23 -1.76446621e-22 ... -1.11994581e-22
  1.30421135e-22 -2.99489933e-22]",45.0,45.0,2,0.503,0.347,610,3.1544191738503926
68,"[-7.99999950e-23 -3.86737151e-23 -1.32677406e-22 ... -1.59133579e-22
  6.55730722e-24  1.71440340e-22]",75.0,19.0,2,0.704,0.175,610,1.828841935441186
69,"[-1.14073574e-22 -1.65159379e-23  1.85901024e-22 ... -1.09633788e-22
  8.95078555e-23 -2.41319809e-23]",98.0,77.0,1,0.777,0.539,610,5.974153917110714
70,"[1.34912978e-22 2.09808873e-22 1.84598671e-22 ... 1.26897934e-22
 3.06585204e-22 1.36063419e-22]",64.0,26.0,2,0.572,0.645,610,2.5792406932229146
71,"[ 8.88022403e-23  1.08771548e-22  7.00079221e-23 ... -1.39402872e-22
  1.91358240e-23  1.86549191e-22]",32.0,28.0,2,0.297,0.554,610,1.8026305344779059
72,"[ 1.85543124e-22  4.99912649e-23 -6.04670471e-24 ...  1.20259388e-22
 -5.22135952e-23 -3.60956302e-22]",139.0,92.0,0,0.169,0.258,610,7.857436464450792
73,"[-6.67042188e-23  3.06230790e-22  4.97901026e-23 ... -3.77384399e-23
 -1.53595855e-22  1.18591041e-22]",119.0,38.0,2,0.555,0.391,610,3.827622275126299
74,"[-5.50859642e-23  1.97851706e-23 -4.83236904e-23 ...  7.33153124e-23
 -4.76925497e-24  3.72056988e-23]",132.0,85.0,0,0.343,0.027,610,7.211736138785673
75,"[ 1.02085448e-22 -1.69941034e-23 -2.80877625e-22 ... -1.86384006e-23
  8.52226552e-23 -5.85873180e-23]",138.0,19.0,1,0.199,0.064,610,2.4086872771327243
76,"[-1.38213117e-22  1.71742557e-22 -2.08573954e-23 ...  9.19497787e-23
  6.55155842e-24  4.86833562e-23]",87.0,87.0,1,0.444,0.205,610,5.675072914263961
77,"[-2.11239153e-22 -2.74582513e-23  1.05650265e-22 ...  2.03036672e-22
  1.68904095e-22 -8.02189021e-23]",76.0,5.0,1,0.568,0.001,610,0.5640460590659663
78,"[-1.87260519e-22  1.04502436e-22 -1.51152530e-22 ... -1.14174319e-22
 -1.32508613e-22  2.40253771e-22]",129.0,48.0,1,0.424,0.068,610,4.716351841631005
79,"[ 1.00409812e-23  8.66609837e-23 -2.68633085e-22 ...  1.07007295e-22
  2.66597016e-22 -1.41025223e-22]",125.0,32.0,0,0.125,0.244,610,3.353664003272203
80,"[ 6.53329341e-23  6.16774280e-23  1.77752997e-23 ... -1.46750821e-22
 -5.00251421e-23  1.76356296e-23]",147.0,10.0,2,0.425,0.293,610,1.2248753083671513
81,"[-8.57818815e-23 -1.69191218e-22  1.46903003e-22 ... -1.19478082e-22
  1.52360410e-22 -2.65028469e-22]",102.0,12.0,1,0.313,0.094,610,1.39350952522665
82,"[ 5.07928427e-23 -1.25987480e-22 -1.25853850e-24 ...  7.85558631e-23
  6.96296497e-23 -1.46994511e-23]",99.0,97.0,2,0.264,0.021,610,6.507621567713596
83,"[-1.35965391e-22 -1.12402065e-22  1.10765042e-22 ... -1.18417142e-22
  1.16750016e-22 -7.97902163e-23]",136.0,39.0,1,0.666,0.534,610,4.305365311385407
84,"[-3.17376897e-24  2.02472839e-22 -4.92977187e-24 ... -1.69899354e-22
  1.79326140e-22  1.29558171e-23]",109.0,34.0,0,0.151,0.061,610,3.4770029218905445
85,"[ 1.70911556e-22 -2.41044766e-22 -2.08290536e-22 ...  9.73912194e-23
 -2.08510884e-23 -5.87225269e-23]",146.0,54.0,2,0.539,0.067,610,5.144585280023696
86,"[-1.08630900e-22 -2.00243922e-22 -1.13341903e-22 ...  2.51884530e-22
 -2.76635727e-22  1.56801838e-23]",105.0,17.0,1,0.347,0.655,610,1.581212999074409
87,"[ 2.65628081e-22 -5.67034596e-23  3.14665518e-23 ... -2.11370962e-22
  3.10789990e-22 -2.95490743e-23]",76.0,70.0,2,0.42,0.068,610,4.921497887023032
88,"[ 4.41136930e-24  1.10468272e-22  3.55281161e-23 ... -9.59283480e-23
 -4.80098345e-23  1.25502296e-22]",139.0,50.0,2,0.773,0.688,610,5.5430946180240195
89,"[-8.43607305e-23  2.71069529e-22  1.31995805e-22 ... -2.45636085e-24
  2.21480869e-23  5.77980130e-24]",76.0,9.0,0,0.511,0.717,610,0.9218062187674021
90,"[-1.47332524e-23 -9.76223220e-23 -1.33613338e-22 ...  1.69190025e-22
 -9.56939898e-23  1.51028230e-22]",85.0,59.0,1,0.469,0.299,610,4.504403799384417
91,"[-1.01904135e-22  3.45985944e-22 -1.32822738e-22 ...  1.03654745e-22
 -1.34903804e-22 -3.77843529e-23]",144.0,86.0,2,0.669,0.187,610,7.294836912464772
92,"[-7.27648082e-23 -1.59597966e-22  9.03194991e-24 ...  1.12146410e-22
 -4.15826880e-22 -1.14070595e-22]",47.0,24.0,1,0.045,0.011,610,1.989327627649687
93,"[ 2.45047330e-22  4.13478795e-23  2.12575267e-22 ...  7.33842436e-23
  2.42044971e-22 -2.03281700e-22]",133.0,78.0,2,0.424,0.206,610,7.728037004969536
94,"[ 5.79507238e-23 -1.68146662e-22  1.81323074e-22 ... -2.61169007e-22
 -8.89404218e-23  9.44919191e-23]",146.0,126.0,2,0.278,0.681,610,9.204821488866527
95,"[-1.93411167e-22  7.88409012e-23 -2.35668076e-23 ...  1.48888239e-23
 -2.35933005e-22  9.98817617e-23]",80.0,3.0,2,0.341,0.494,610,0.3397714137282827
96,"[ 9.85652190e-23 -5.68375654e-23 -2.11788684e-23 ...  3.63905488e-23
  2.23915780e-23  6.95368331e-23]",67.0,45.0,1,0.583,0.381,610,3.482181375312595
97,"[-3.95321562e-22  1.92339839e-22  1.07868379e-23 ... -1.64095951e-22
 -1.10490076e-22  3.71708488e-23]",143.0,41.0,0,0.735,0.531,610,4.261269881579791
98,"[ 5.08360772e-23  8.18313385e-23  2.74882325e-24 ...  3.42916452e-23
  1.76098070e-22 -6.53394213e-23]",50.0,29.0,2,0.503,0.557,610,2.502859521697471
99,"[ 2.47134973e-22  7.34656518e-23 -3.35158048e-23 ... -1.43615045e-22
  1.68075827e-23  1.15749237e-22]",91.0,53.0,2,0.463,0.399,610,4.265860622045804
100,"[-4.19879373e-23  1.05645307e-22  8.24208225e-23 ...  2.43719809e-23
  2.46921268e-22 -4.38675024e-23]",150.0,54.0,2,0.182,0.265,610,5.122228060726521
101,"[ 6.81740315e-23 -1.39236181e-22 -7.08919095e-23 ...  2.99489643e-23
 -7.85283800e-23  9.74031251e-23]",133.0,12.0,0,0.17,0.486,610,1.1552904312905274
102,"[-2.19532742e-22  8.16173792e-24  9.02402854e-23 ...  3.58922287e-23
 -1.51715043e-22  2.48475609e-23]",51.0,23.0,2,0.499,0.031,610,2.068645341034603
103,"[ 6.56262124e-23  1.55996516e-23  9.05687313e-23 ...  3.01625173e-23
 -1.01881425e-22 -3.44786332e-23]",140.0,30.0,2,0.39,0.448,610,3.3839462307834522
104,"[ 2.51630296e-23  1.98669792e-22 -7.08497604e-23 ... -1.33227172e-22
 -2.34968502e-22  1.51549697e-22]",128.0,20.0,1,0.429,0.231,610,2.368855695062629
105,"[-3.30029141e-22  9.11602115e-23  1.92442385e-22 ... -1.92209436e-22
  2.92444188e-22  2.95242990e-23]",141.0,93.0,2,0.345,0.204,610,8.022631729030685
106,"[-2.09084189e-22 -1.07908997e-22  1.33048282e-22 ...  2.63574524e-22
  3.31338392e-23 -1.57351368e-22]",131.0,28.0,2,0.697,0.325,610,2.865034162521902
107,"[-3.89392266e-23  2.31318037e-23 -5.72004235e-23 ...  3.19805296e-22
 -9.22749498e-23 -1.33660028e-22]",149.0,45.0,1,0.62,0.473,610,4.3050677951961385
108,"[-1.43378130e-22 -4.49082259e-23 -1.07637258e-22 ... -2.08112277e-22
  9.57246680e-23  1.15218228e-22]",135.0,105.0,0,0.169,0.18,610,8.02461616315722
109,"[ 2.68870061e-22 -1.16147221e-22 -2.70069850e-23 ... -1.89287339e-22
  3.83342440e-23 -8.97715370e-23]",115.0,41.0,0,0.231,0.09,610,4.340099782643655
110,"[-1.69423378e-22 -2.14427299e-22  2.14796216e-23 ... -2.37996155e-22
  3.06601608e-22 -1.47473656e-22]",87.0,65.0,0,0.304,0.415,610,5.537092612703658
111,"[ 1.96885941e-22 -1.30534339e-22  1.83625060e-22 ...  5.60527727e-24
  1.42166648e-22  2.11737206e-23]",53.0,46.0,0,0.554,0.486,610,3.0490703090524014
112,"[-5.21688520e-23 -4.07499246e-23  7.18420293e-24 ... -2.89358005e-22
 -3.46409510e-23  9.31136911e-23]",149.0,120.0,2,0.669,0.176,610,7.903025077470526
113,"[-8.30649377e-23 -2.38446087e-22 -2.87191293e-23 ...  1.09085789e-22
  2.98855340e-22  1.25149732e-22]",150.0,12.0,2,0.256,0.699,610,1.5290225423061583
114,"[ 1.03610997e-23 -3.78236904e-23 -5.76420127e-23 ... -4.63781468e-23
 -1.00688807e-22  1.36484376e-22]",54.0,26.0,1,0.739,0.092,610,2.2677612230930175
115,"[ 1.84988298e-22  3.91280551e-24  1.98555931e-23 ... -1.60730212e-22
  4.31639454e-22  5.51247188e-23]",37.0,9.0,0,0.464,0.25,610,0.9096822833980048
116,"[ 4.67035216e-23  8.78425247e-23 -2.37046646e-23 ... -1.04241944e-22
  5.88400934e-23 -1.89870053e-22]",100.0,84.0,0,0.162,0.077,610,6.178334080308307
117,"[-1.22901076e-22  1.47390320e-22  5.30961553e-23 ...  4.24141382e-23
 -1.88724092e-23 -2.98969595e-22]",138.0,116.0,1,0.105,0.04,610,8.107693730121563
118,"[-7.02229863e-23 -5.68961502e-23 -7.31768640e-23 ...  7.76500406e-23
  9.36109571e-23  3.39062573e-23]",71.0,25.0,0,0.012,0.491,610,2.4841433817413408
119,"[ 1.20153152e-22  2.65083209e-23  1.10113202e-23 ...  2.64030218e-23
 -4.68117250e-23  8.40453911e-23]",126.0,23.0,0,0.504,0.171,610,2.6819797043935187
120,"[1.53471466e-22 2.45614203e-22 1.54739228e-22 ... 7.37453829e-24
 6.13063531e-24 1.52281022e-22]",106.0,89.0,0,0.004,0.683,610,7.10836610555565
121,"[ 7.62506545e-23  4.70455613e-23  3.97148234e-23 ...  9.52713572e-23
  2.34376687e-22 -9.15329677e-23]",107.0,101.0,2,0.198,0.066,610,7.750468249442319
122,"[ 1.36832241e-22 -3.79064290e-23 -1.70630958e-23 ... -6.95937674e-23
 -4.64990648e-23 -1.10437502e-22]",84.0,11.0,2,0.029,0.77,610,1.0883728876138097
123,"[-6.66920877e-23  1.07609897e-22 -1.81582196e-22 ...  9.10974353e-23
 -2.60865259e-22  2.39342809e-22]",95.0,17.0,2,0.581,0.449,610,1.7554362350995605
124,"[-2.58761991e-22  2.09589163e-23  2.09570566e-22 ...  1.97725936e-23
  6.62390412e-23  7.68065165e-23]",92.0,86.0,2,0.631,0.122,610,6.117949381440278
125,"[-5.29674749e-23 -2.51561964e-23 -4.54280255e-23 ...  9.89627801e-23
  9.63446185e-23  1.01935660e-22]",145.0,58.0,1,0.706,0.685,610,5.570637668144257
126,"[ 3.88411841e-23 -8.03247722e-23  1.02706321e-22 ...  1.69801962e-23
  1.21543822e-22  2.55609420e-22]",71.0,36.0,1,0.744,0.455,610,3.102945584870111
127,"[-1.46497594e-22  1.01665243e-22  5.86523154e-24 ...  1.64785430e-23
  2.49485821e-22 -9.66195768e-23]",104.0,12.0,0,0.597,0.764,610,1.4715841880285447
128,"[ 3.61083994e-23 -1.13810982e-23  1.75445286e-22 ...  1.15386556e-22
 -1.45206153e-22  4.72890297e-23]",90.0,71.0,0,0.176,0.377,610,5.69033676836504
129,"[-1.33844563e-22 -7.32367379e-23 -9.52749209e-23 ... -1.57649781e-22
  6.81898638e-23  1.37542809e-22]",150.0,81.0,0,0.795,0.24,610,7.149252424333377
130,"[ 1.57242384e-22 -2.06026049e-22  2.88958721e-23 ...  9.50536857e-23
 -1.70292168e-22 -4.30918045e-23]",32.0,4.0,2,0.628,0.289,610,0.4221953743631745
131,"[-7.98059312e-23 -1.74096029e-22 -1.43107383e-22 ...  1.56450592e-22
 -2.16883591e-22  4.45365459e-23]",101.0,96.0,2,0.13,0.594,610,6.504054557402506
132,"[-2.29671803e-22  2.39164397e-22 -8.44894179e-23 ... -2.87116741e-23
 -1.09418063e-22 -3.66388087e-23]",120.0,43.0,0,0.667,0.255,610,4.286213762670766
133,"[ 7.54050033e-23 -8.36393316e-23  1.28148623e-22 ... -1.49292551e-22
 -9.11841571e-25 -2.90630662e-22]",125.0,54.0,1,0.605,0.573,610,4.155858286447299
134,"[ 1.10988336e-22  2.11141061e-23  1.31455073e-22 ... -2.71274473e-24
  1.17077518e-22 -1.00701266e-23]",143.0,94.0,1,0.525,0.41,610,7.345533058986817
135,"[-1.43490321e-22  8.07933111e-23 -1.24255365e-22 ... -2.66606479e-22
 -2.31377977e-23 -1.76500705e-22]",103.0,32.0,2,0.128,0.02,610,3.2107336736390737
136,"[ 9.59924243e-23 -1.67922620e-22  8.45214602e-23 ...  7.46477418e-23
 -7.34647563e-23 -1.42647083e-23]",135.0,60.0,1,0.552,0.171,610,5.709365502458955
137,"[-2.40764087e-22  3.70984715e-23 -5.62958360e-23 ... -8.45849967e-23
  2.30301085e-22  6.43933950e-23]",88.0,35.0,0,0.465,0.108,610,3.202516837869356
138,"[-2.41030888e-24  8.51591897e-23  2.83969037e-22 ... -5.34052229e-23
  6.48201959e-23 -4.54125235e-23]",87.0,61.0,1,0.33,0.14,610,4.722591399149573
139,"[ 2.95796340e-22 -1.66643232e-22  1.35878772e-22 ... -9.17283246e-23
 -4.28181183e-23  2.01984145e-22]",66.0,16.0,2,0.022,0.771,610,1.757103374576323
140,"[ 1.34297265e-23 -9.47047754e-23  2.44228533e-23 ...  1.14783435e-22
 -2.13260649e-22  9.16682434e-23]",145.0,28.0,1,0.778,0.47,610,2.7112473569802282
141,"[ 9.98081146e-23  4.15382678e-24  9.64029349e-23 ... -1.63876267e-22
 -8.16358634e-23  3.94317158e-23]",119.0,115.0,2,0.508,0.426,610,6.469972245187315
142,"[ 1.05888833e-22  7.33957156e-25 -1.80811721e-22 ...  2.61438327e-22
  1.31222279e-23  2.06178540e-23]",95.0,64.0,0,0.613,0.016,610,5.362724359102486
143,"[-4.05702757e-23 -8.02447985e-23 -1.77119960e-23 ...  2.32619703e-24
 -1.51757094e-22 -1.48179258e-23]",110.0,98.898,0,0.262,0.181,610,6.69911849673818
144,"[-2.78224569e-23 -1.80068357e-22  1.86416064e-22 ... -1.51430240e-22
 -6.21415312e-24 -7.16123687e-23]",142.0,141.0,1,0.081,0.747,610,10.592267875355075
145,"[-6.60627202e-23  8.42509264e-23  4.26043363e-23 ...  1.03554115e-22
 -1.20018734e-22 -7.88136908e-23]",122.0,101.0,2,0.565,0.622,610,6.724288104575787
