,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
17,"[-2.41870211e-22  1.85817010e-22  1.52687100e-22 ...  3.55888340e-23
 -8.85559724e-23  6.66082593e-23]",116.0,92.0,1,0.369,0.383,810,4.707227086855425
18,"[-7.89447329e-23  3.54498742e-23 -1.70074336e-22 ...  1.40830175e-22
  5.44748768e-23 -1.16898664e-22]",77.0,77.0,1,0.377,0.75,810,4.4243537905599615
19,"[ 1.91080389e-22  1.18092739e-22 -2.36296006e-22 ... -2.88057325e-23
 -7.26391995e-23 -7.58357033e-23]",137.0,118.0,0,0.121,-0.754,810,6.4283290803929285
20,"[-9.40882746e-24 -1.00358723e-23  8.86317891e-23 ...  1.86954166e-22
 -2.14747586e-23  2.15028981e-22]",70.0,30.0,1,-0.416,0.444,810,2.061997134683946
21,"[ 5.50356898e-23  1.44276091e-22  7.69533881e-23 ... -1.27343999e-22
  1.31483294e-22 -6.37672238e-23]",115.0,53.0,1,0.341,-0.352,810,3.6860715153979187
22,"[ 2.33584075e-22 -2.83282178e-22  7.25922048e-24 ... -8.43584832e-23
  1.80793118e-22 -8.35094703e-23]",94.0,78.0,0,0.071,0.418,810,4.02865228276704
23,"[-2.03107327e-23 -7.19251526e-24 -9.69105153e-23 ...  1.63837673e-23
 -9.29329368e-23 -4.80528499e-23]",72.0,69.0,1,-0.209,-0.579,810,3.801750998453696
24,"[-1.74316514e-22  2.01548204e-22 -3.42883374e-22 ... -1.76834758e-22
  1.51636119e-22 -1.24552688e-25]",145.0,95.0,2,-0.778,0.217,810,5.807740182483533
25,"[-1.43872910e-22  3.59657581e-24 -8.80400982e-23 ...  5.87533331e-23
 -2.37948396e-22  1.73374447e-22]",120.0,82.0,1,-0.408,0.337,810,4.958581495493619
26,"[ 2.50804602e-23  2.68188733e-22 -4.99094270e-23 ...  2.56082345e-22
 -4.84876746e-23 -9.83642885e-23]",97.0,85.884,0,-0.673,-0.29,810,4.949623303792178
27,"[-2.38916329e-22 -1.08710589e-22  1.56297252e-22 ... -1.40881176e-22
  1.90791150e-22 -6.39686091e-23]",143.0,113.0,2,-0.01,-0.088,810,6.034757886908423
28,"[ 7.93004996e-23  5.38646658e-23  2.10835568e-23 ...  2.13131632e-22
 -2.39754022e-22 -7.72237045e-23]",91.0,37.0,2,-0.22,-0.094,810,2.680990601165975
29,"[ 6.03261514e-23  1.18998501e-23 -2.04650589e-22 ...  2.69507528e-23
  4.71041375e-23  2.78493990e-22]",86.0,15.0,2,-0.272,0.462,810,1.318224817490003
30,"[-1.09452396e-22  5.35649926e-23  2.99294762e-22 ... -4.83042213e-24
 -3.72152563e-23  2.50735203e-23]",132.0,102.0,0,-0.557,0.249,810,5.840065418857286
31,"[ 2.67834101e-22  1.82322698e-22 -1.43115886e-22 ... -1.54235197e-23
 -1.42576505e-22  3.81053346e-23]",138.0,36.0,0,-0.573,0.734,810,2.929866753485976
32,"[-1.02102913e-22 -1.08867797e-22 -4.23338010e-23 ... -7.46225627e-23
 -2.02592208e-22  5.69992467e-23]",69.0,21.0,2,0.383,0.528,810,1.5914804015427808
33,"[-9.82678738e-23 -4.88607377e-24 -1.79197879e-22 ...  1.33450164e-22
 -2.01412158e-22  2.52300596e-22]",108.0,41.0,1,-0.088,-0.287,810,2.563399859701589
34,"[ 9.12069953e-23  2.88478792e-22 -9.99913416e-23 ...  9.11868226e-23
  1.79415705e-22  1.49229372e-22]",146.0,46.0,2,0.446,0.091,810,3.6218273244991375
35,"[-7.06436089e-23 -4.36335550e-23 -9.01716495e-23 ...  1.94615513e-22
  5.80986512e-23  1.31188002e-22]",9.0,8.0,0,0.251,0.332,810,0.37758233382373046
36,"[ 9.97468203e-24  1.63149058e-23 -7.20910545e-23 ...  2.03232053e-22
 -1.29337367e-22  1.72826565e-22]",82.0,5.0,0,0.694,0.461,810,0.49974021478758185
37,"[-1.53649945e-22  1.15747699e-22 -1.69647475e-23 ...  2.10983465e-22
  1.02656627e-22 -2.20031783e-22]",73.0,54.0,2,0.216,0.717,810,2.986049998415367
38,"[-5.27007056e-23 -2.28971701e-23  7.48417017e-24 ...  5.70994454e-23
 -1.08273755e-22  1.07842640e-22]",108.0,20.0,2,0.513,0.607,810,1.7917548602437194
39,"[ 2.96145128e-22  2.90035206e-22 -1.63538726e-22 ... -1.23879341e-22
 -7.14829528e-23 -8.08782318e-23]",128.0,19.0,1,0.144,-0.627,810,1.5767578972203657
40,"[-1.21817767e-22 -1.88151918e-23 -2.67434027e-22 ...  3.83809317e-23
  1.15216347e-22 -1.02248961e-23]",24.0,2.0,0,0.179,-0.519,810,0.15146111852091598
41,"[ 5.27250019e-23  1.82802149e-22 -2.12283166e-22 ...  6.61213573e-23
 -3.19950304e-22  3.08585021e-23]",87.0,34.0,0,-0.274,0.256,810,2.0473299207211206
42,"[-1.16461734e-22 -7.53146208e-23 -1.84836544e-22 ... -1.76644437e-23
 -1.07619631e-22  4.09387770e-23]",66.0,63.0,0,-0.013,-0.119,810,3.549250888614298
43,"[-2.14976114e-23  7.54870732e-23  2.64198584e-23 ...  1.35891710e-23
 -4.86735100e-24 -6.96906945e-23]",91.0,35.0,0,-0.546,0.41,810,2.2221336697737404
44,"[ 3.56977789e-23 -1.67692580e-23  4.67715552e-23 ... -2.62695661e-22
  9.47630033e-23 -3.06528132e-22]",50.0,23.0,0,-0.372,0.311,810,1.6096338018871112
45,"[-1.64509280e-22 -1.76871937e-22  2.48413906e-22 ...  5.10211373e-23
 -1.67643274e-22 -1.51273669e-22]",125.0,85.0,1,0.69,-0.445,810,5.248922650273134
46,"[ 1.11378115e-22  7.83554740e-23 -9.14032861e-23 ...  4.19142523e-23
  6.03659258e-23  4.21851379e-23]",140.0,44.0,1,-0.474,-0.719,810,3.342196116944615
47,"[ 4.02175872e-22 -3.54317358e-23 -1.39857305e-22 ...  1.24882540e-22
 -1.38045995e-23  8.21129373e-24]",87.0,82.0,0,-0.603,-0.545,810,3.8629657596104563
48,"[ 7.39663788e-23 -3.53588764e-24 -1.39909431e-22 ... -1.24654247e-22
 -8.39352361e-23 -9.74435949e-23]",112.0,38.0,1,-0.197,0.441,810,2.473597921326943
49,"[ 6.47165728e-23  2.56398631e-22  1.77328208e-22 ... -2.53732317e-22
 -3.68966843e-23 -4.20013953e-23]",145.0,102.0,0,-0.605,0.09,810,6.441616881166679
50,"[-1.43779109e-22  1.21672017e-22  6.46718396e-23 ... -2.35456530e-22
  1.92963095e-22  1.63491089e-22]",105.0,66.0,2,0.257,0.305,810,4.266808114459999
51,"[-5.33824011e-23 -1.07367717e-22 -3.53776709e-23 ...  9.63848529e-23
  6.04155768e-23 -2.46390582e-22]",97.0,2.011,0,0.082,0.035,810,0.2596010482235792
52,"[ 2.71303491e-22 -4.80498437e-23 -1.35172364e-22 ... -2.10784572e-23
  8.00483248e-23  3.92769907e-23]",98.0,3.0,2,-0.484,0.311,810,0.24576434702969216
53,"[-1.63779080e-22  1.22785201e-22  2.89517040e-22 ... -1.34999907e-22
  1.55180345e-22 -1.21267405e-22]",123.0,109.893,2,0.492,0.644,810,6.377584309294036
54,"[ 1.46357395e-22  1.55477483e-22 -5.10704348e-23 ...  8.09945368e-23
  3.61716099e-23 -3.22729005e-23]",39.0,32.0,0,0.257,0.644,810,1.774645881410196
55,"[-5.65147565e-23 -1.02771219e-22 -6.36766629e-23 ...  6.67482371e-23
 -1.20166315e-22 -1.68543165e-22]",83.0,13.0,0,-0.201,-0.143,810,0.9814950124971287
56,"[ 2.17991087e-22  8.27917697e-23  2.26445356e-22 ...  1.52202613e-23
 -8.13364078e-23 -1.80866752e-22]",148.0,121.0,2,0.131,0.747,810,7.267529863644095
57,"[-1.11320016e-22  4.08930395e-23 -1.40505489e-22 ...  3.64324787e-23
  9.81321178e-23  1.22863756e-22]",112.0,9.0,1,-0.351,0.641,810,0.7411101804393854
58,"[ 8.79146003e-23 -3.05287192e-23 -2.77401457e-22 ... -1.09020247e-22
 -6.20527812e-23 -8.90952452e-23]",35.0,21.0,0,0.047,0.077,810,1.266065851402823
59,"[-5.83884776e-23  1.07519333e-22  2.03651305e-22 ... -2.43463869e-22
 -5.52473870e-23  1.91508353e-22]",36.0,17.0,2,0.572,-0.02,810,1.200149574614951
60,"[-1.36785200e-22 -1.58872131e-22 -9.47923239e-23 ... -8.31363913e-23
 -3.64509330e-23  9.69463136e-23]",63.0,33.0,1,0.756,0.79,810,2.3381381632414353
61,"[ 8.70857127e-23  1.06831195e-22  8.96781306e-23 ... -1.88153778e-22
  9.08776952e-23 -7.04532953e-23]",42.0,18.0,1,-0.647,-0.575,810,1.2339724465566924
62,"[-1.45457607e-22  4.50330730e-23  3.07212219e-23 ... -7.66309139e-23
  5.31621535e-23 -1.36350643e-23]",128.0,82.0,2,-0.709,-0.632,810,4.891992099017676
63,"[-9.41964547e-24  2.72109539e-23 -8.91624259e-23 ... -8.91635460e-23
  2.79686502e-22  3.79718790e-23]",58.0,7.0,2,0.771,-0.35,810,0.6310619824343378
64,"[-4.63400240e-23 -1.02455216e-22  4.42586299e-23 ... -8.77736343e-23
  1.35284029e-22 -1.39147823e-22]",132.0,131.0,1,-0.023,-0.243,810,5.570603111184129
65,"[-2.53909407e-22 -1.37399822e-22  2.24751682e-22 ... -2.19401500e-22
 -9.41624934e-23 -3.34110179e-23]",109.0,106.0,0,-0.599,0.584,810,5.968285296807332
66,"[-1.76687849e-22 -5.28570640e-23  1.45293689e-22 ... -5.49321285e-23
  7.22323114e-24 -4.25776798e-24]",98.0,84.0,1,0.322,0.221,810,4.4386988588591905
67,"[-1.13393902e-22  1.20999083e-22  1.24485702e-22 ... -1.81889864e-22
 -5.78240369e-23  4.05119688e-22]",105.0,23.0,2,-0.004,0.081,810,2.0100155826565347
68,"[ 2.91974925e-22 -2.52110596e-23 -6.03645599e-23 ... -2.07174478e-23
 -4.69674908e-23  1.46679347e-22]",136.0,47.0,0,0.169,-0.182,810,3.3904960223597334
69,"[ 1.00561669e-22 -9.67678003e-23  9.92973891e-23 ...  1.40349245e-22
  2.14584019e-22 -7.92193958e-23]",56.0,47.0,1,0.658,0.01,810,2.3993130655308845
70,"[-4.14705301e-23  5.45527795e-23  1.49047755e-22 ...  3.52599453e-23
  7.68097047e-23 -1.85684363e-22]",145.0,3.0,1,0.614,-0.148,810,0.27737969871116414
71,"[-1.34393363e-22  1.14376279e-22 -9.91367707e-23 ... -2.82154278e-22
  1.11460526e-22 -1.29254234e-22]",56.0,2.0,0,-0.223,0.056,810,0.18363950189673034
72,"[ 2.47055175e-22  6.94644720e-23  8.93370686e-24 ...  9.42847830e-23
 -2.38657568e-22  2.26397896e-22]",134.0,65.0,1,0.095,0.77,810,4.139226321725312
73,"[ 1.81227738e-23  2.46200703e-22 -4.28970486e-23 ...  4.98116317e-23
 -5.72614082e-23  8.70056078e-23]",147.0,104.0,1,0.144,0.022,810,6.532481616359505
74,"[ 2.42110199e-22 -3.01883691e-22 -3.63598962e-23 ... -2.06563441e-22
  1.75636384e-22  4.51549054e-24]",38.0,21.0,0,-0.381,0.595,810,1.4036557898164204
75,"[-3.15465895e-23  1.79265537e-23  2.29657979e-22 ...  1.16793077e-22
 -6.10580966e-23  8.80172119e-23]",120.0,19.0,1,0.749,0.66,810,1.6211272692498437
76,"[-2.25799635e-22  9.98367053e-23  5.38626808e-23 ... -1.42781625e-22
 -8.34054306e-23 -2.68644307e-22]",77.0,52.0,1,0.257,0.73,810,2.9015218696766722
77,"[ 3.37502752e-22 -1.03701464e-22  2.38728620e-22 ...  1.01361767e-22
 -8.95314978e-24  2.42787059e-22]",103.0,57.0,0,-0.679,0.43,810,3.468086305329849
78,"[-9.40157718e-23  3.85760620e-23 -9.20029523e-23 ... -1.54785010e-22
  2.16371987e-22 -3.55864390e-23]",129.0,19.0,2,-0.22,-0.612,810,1.6003555018430646
79,"[-8.86713444e-23 -3.28959297e-23  1.29366306e-22 ... -6.71352236e-23
  5.99987256e-23 -2.57163656e-23]",77.0,16.0,0,-0.306,-0.526,810,1.042732736197103
80,"[-1.34960765e-22  2.02636817e-23 -2.50701720e-22 ... -7.35541409e-23
  1.46821322e-22 -2.69024947e-22]",75.0,66.0,2,-0.782,-0.24,810,3.740667010985151
81,"[ 9.10961710e-23 -1.49015910e-22 -1.39453447e-22 ... -1.26856731e-22
 -2.14615025e-22  1.10915408e-22]",114.0,66.0,0,0.719,-0.293,810,4.192707800426268
82,"[-1.96392390e-22 -4.17162842e-23 -1.90264023e-22 ... -1.17060725e-22
 -9.97747083e-23 -5.14381300e-23]",37.0,8.0,1,-0.399,-0.095,810,0.6875582299530987
83,"[-3.84062425e-23  1.15743697e-22  5.94690146e-24 ... -2.57084894e-23
 -2.26590577e-22  5.18582369e-23]",146.0,29.0,2,0.509,0.421,810,2.1832726857323013
84,"[ 1.42285953e-22 -2.18654130e-23  2.25210921e-23 ...  1.73737112e-22
 -1.11914398e-23  2.59685357e-22]",97.0,31.316,1,0.607,0.28,810,2.4276896739330254
85,"[ 6.23508384e-23 -3.26663526e-23 -2.26854396e-22 ...  5.13191828e-23
  1.94413815e-23 -1.95625040e-22]",86.0,2.0,2,0.574,-0.798,810,0.1844847360948221
86,"[-5.46592615e-25 -7.03998102e-24  1.20015603e-22 ...  1.10977964e-22
  2.27592524e-23 -2.08533840e-22]",112.0,103.0,1,-0.004,0.231,810,4.799112904252682
87,"[ 1.79063040e-22  8.95935883e-23 -1.22201764e-22 ... -5.92099044e-23
  5.23288989e-23  9.60225462e-23]",149.0,62.0,1,-0.225,0.743,810,4.186381287502481
88,"[ 1.50835194e-22  1.01816540e-22  1.86569307e-22 ...  6.18178810e-23
 -5.72095647e-23 -2.76125111e-23]",115.0,19.0,0,0.648,0.637,810,1.4254175857401152
89,"[-4.07757450e-23 -2.72224217e-23  1.87122099e-22 ... -6.17337342e-23
  7.61808271e-23 -4.58355537e-23]",146.0,30.0,2,0.732,0.501,810,2.471728841497927
90,"[-1.60933696e-22  4.63773876e-23  3.11203997e-23 ...  8.42837661e-23
  1.97132423e-22 -8.64272111e-23]",85.0,10.0,2,0.286,0.014,810,0.7651500630824016
91,"[ 5.90104958e-23 -9.27499830e-23 -3.06272063e-23 ... -1.57262806e-22
  9.52885449e-24  1.86802819e-24]",130.0,120.0,2,-0.091,-0.126,810,6.733313320636889
92,"[-5.75109372e-23  7.15504480e-23 -1.39993607e-23 ...  6.67965419e-23
 -1.65599690e-22  3.04952914e-23]",112.0,11.0,0,0.658,-0.355,810,0.8929693228899998
93,"[-1.20414707e-22  1.76020261e-22 -4.29979445e-23 ... -1.00895464e-22
 -2.42330171e-23  2.24340934e-22]",98.0,94.0,2,0.589,-0.192,810,5.476369827766313
94,"[ 1.37363497e-22 -3.87574179e-23  2.49240250e-23 ... -1.33623104e-22
  2.22002386e-23  1.31832682e-22]",131.0,3.0,1,0.146,-0.594,810,0.2967175905894973
95,"[ 3.10088322e-24 -3.21276935e-22  9.36165636e-23 ...  2.48231778e-22
  5.66011384e-23  2.19937147e-22]",148.0,40.0,1,-0.394,-0.484,810,2.8502475991264724
96,"[ 1.72293612e-22 -1.01352905e-22  4.33824693e-23 ... -1.02535044e-22
 -2.90047421e-22  5.61039026e-23]",141.0,61.0,1,0.275,0.292,810,3.624297610050577
97,"[ 2.06523810e-23 -2.43793450e-22 -1.26562575e-22 ...  1.04883620e-22
 -1.38262807e-22 -7.37421499e-24]",51.0,22.0,2,-0.162,-0.574,810,1.5759217869508468
98,"[-1.68296525e-22  5.42307193e-23 -8.80683935e-23 ... -1.19309043e-22
 -8.48693967e-23  2.51407411e-22]",133.0,112.0,2,0.624,0.357,810,6.275330069049443
99,"[ 1.90187956e-22  1.13658487e-22 -8.26516943e-24 ... -1.93772158e-22
  3.01884417e-22 -1.03452622e-22]",53.0,11.0,2,-0.01,-0.106,810,0.745478969195561
100,"[ 1.60056223e-22  1.24068514e-22  1.50356567e-23 ... -2.55495372e-22
  8.35226175e-23 -1.40089378e-23]",135.0,24.0,2,0.229,0.186,810,1.7308830404286069
101,"[-5.46478645e-23 -1.52803890e-22 -3.99125404e-23 ...  1.99887870e-23
  1.76408802e-23  2.03883063e-22]",34.0,20.0,1,-0.024,-0.514,810,1.2641584801706856
102,"[ 7.04692259e-23  2.25194210e-22 -1.47214869e-22 ...  3.64028704e-22
 -6.36935621e-23 -1.54656527e-22]",40.0,21.0,2,-0.721,0.641,810,1.2395595738864986
103,"[-6.64354360e-23  1.69992388e-22  1.03460636e-22 ... -2.85186381e-22
 -4.91099130e-23  1.43232885e-23]",108.0,82.0,0,0.377,0.631,810,4.5609293846977845
104,"[ 2.37672398e-22 -1.52989295e-22 -1.89445280e-22 ...  2.31578558e-22
  4.29876717e-23 -1.66518554e-22]",69.0,18.0,0,-0.633,0.654,810,1.6085537331469368
105,"[-7.28397277e-23  4.21399519e-22  1.68608781e-22 ... -7.11276807e-23
 -1.04256621e-22 -6.81827777e-23]",105.0,98.0,0,-0.053,-0.486,810,5.658344604736825
106,"[ 7.95471602e-23 -9.60023586e-23  6.56198502e-23 ... -2.04877804e-24
 -1.40320561e-22 -2.08229323e-22]",131.0,107.0,0,0.222,-0.01,810,6.298703747716143
107,"[ 1.46272777e-22 -9.87076945e-23 -6.95146955e-23 ... -1.12172024e-23
 -2.03325314e-22  4.92602447e-23]",74.0,5.0,1,-0.494,-0.007,810,0.3748517753046471
108,"[-1.62012377e-22 -1.50871346e-22  1.68856291e-22 ... -4.79709940e-23
  1.31277873e-22 -3.08561569e-24]",135.0,59.0,0,0.456,0.202,810,4.109357699643221
109,"[-3.53179537e-23 -6.39457525e-23 -2.10008275e-22 ... -1.05816934e-22
 -4.39450519e-23 -5.17644393e-23]",70.0,38.0,1,-0.619,-0.323,810,2.32646455304785
110,"[-4.23749397e-23  1.40109929e-22 -3.24187146e-23 ... -3.20256919e-22
  3.15689177e-23  4.97383633e-23]",119.0,77.0,0,0.629,-0.175,810,5.032168719572953
111,"[-6.86172587e-23  1.26468526e-23 -1.59053186e-22 ... -1.16306131e-22
  1.73222367e-23 -1.82779140e-22]",94.0,46.0,0,0.31,-0.237,810,2.751661796288493
112,"[-7.78132736e-23  3.15511413e-22 -8.38150104e-23 ... -3.85984328e-23
  7.85305206e-23  1.79352337e-22]",15.0,13.0,0,-0.237,0.558,810,0.5877352913695799
113,"[-1.28465593e-22  4.96794058e-23 -1.39075914e-22 ...  1.91750090e-23
 -1.56012614e-22 -2.30834230e-22]",46.0,40.0,0,0.271,0.246,810,2.328929324642974
114,"[ 1.01702349e-22 -1.22502452e-22  6.95549195e-23 ... -1.20244681e-22
 -2.98096130e-23  2.93713213e-23]",78.0,5.0,1,-0.677,-0.348,810,0.4091914036552473
115,"[ 2.86620859e-22 -8.11910886e-23 -4.46672415e-23 ...  6.05236953e-24
  3.65429083e-23  9.40058483e-23]",28.0,12.0,0,-0.737,0.458,810,0.7126727923209916
116,"[-2.27327467e-22 -1.89606605e-22  3.68061002e-23 ...  6.89771459e-23
 -3.46637129e-23 -1.26178345e-22]",88.0,61.0,1,0.55,-0.005,810,4.07377298324554
117,"[-1.07994302e-22 -8.49315911e-23  3.04718383e-24 ... -1.53300505e-23
 -1.38758766e-22  4.12887812e-24]",108.0,3.0,2,-0.774,-0.288,810,0.2913653357609961
118,"[ 2.03424436e-22  1.47089965e-22 -1.09894413e-22 ...  1.30437058e-22
 -2.35898927e-22  7.83147811e-23]",73.0,14.0,1,-0.543,-0.443,810,1.0925914630772393
119,"[-6.89142135e-24 -6.83686059e-23 -2.49691336e-22 ... -7.06340273e-23
 -5.96679322e-23  3.74593025e-23]",119.0,91.0,1,0.095,-0.574,810,5.602694404687151
120,"[-3.45012855e-22 -1.33187066e-22  1.55134905e-22 ... -2.49654018e-22
 -4.33196630e-23  5.20410591e-23]",147.0,79.0,2,-0.007,0.582,810,4.760166843348922
121,"[-1.79100858e-22 -7.58910794e-23  2.65919816e-22 ... -3.49406378e-22
  1.28749021e-22 -2.62969667e-22]",91.0,90.0,2,0.755,0.016,810,4.517233261075856
122,"[ 1.45198101e-22  1.50943218e-22 -7.38019147e-24 ... -1.76779057e-24
 -3.09464452e-23  8.88143769e-23]",102.0,51.0,2,0.089,-0.686,810,3.2729222842538017
123,"[ 1.51101494e-22 -1.12628736e-22  1.85055420e-23 ... -7.26927331e-23
  2.23167171e-22 -1.38093947e-22]",112.0,48.0,2,-0.113,-0.419,810,3.36575589821184
124,"[-7.53536895e-23 -2.13198739e-23  2.55857521e-23 ... -1.03623136e-23
  1.30866172e-22  7.05576990e-23]",111.0,55.0,1,0.224,0.778,810,4.022280814387401
125,"[ 6.15594653e-24 -1.00999689e-22  1.02912867e-22 ... -4.69407923e-23
  7.64132116e-23  1.01519261e-23]",120.0,27.0,1,0.762,0.237,810,2.4100366831214823
126,"[ 2.91106639e-23 -3.24205043e-23 -9.25919114e-23 ... -1.25877743e-22
 -1.07247658e-22 -2.82450019e-23]",84.0,10.0,0,0.054,-0.659,810,0.9790306819854778
127,"[ 5.03324512e-23 -2.88853961e-22  1.25177215e-22 ... -1.47652065e-23
  1.98491937e-23  9.87720630e-23]",140.0,100.0,2,0.531,-0.592,810,6.276031191159989
128,"[ 1.83456458e-23  6.99246211e-23  2.14664875e-22 ...  9.87728268e-23
 -1.55936594e-22 -1.63833460e-22]",85.0,38.0,2,-0.178,0.371,810,2.7463693589715947
129,"[ 1.54715809e-22 -2.41828728e-22  4.19170452e-23 ... -8.71773722e-23
  3.11970811e-23 -1.46828404e-22]",149.0,84.0,2,0.709,0.483,810,5.447834463232367
130,"[-5.65470745e-23 -3.52531216e-23 -3.18982721e-22 ...  5.40447030e-23
 -7.70690646e-24 -1.97826998e-22]",110.0,34.306,0,-0.115,0.713,810,2.596177870327244
131,"[ 2.55850405e-22  1.73174970e-24 -7.84919320e-23 ...  8.84542420e-23
  9.67417647e-24  6.21860885e-23]",50.0,33.0,0,0.576,0.001,810,1.9537575597096442
132,"[-1.18407063e-23  7.37815181e-23  9.36856441e-23 ... -1.78544480e-23
  1.05458223e-22 -2.13065578e-22]",126.0,3.0,0,0.027,0.205,810,0.35054724734076764
133,"[ 1.16242843e-22 -1.24464869e-22  1.77493193e-22 ...  1.95420093e-23
 -5.02101634e-23  1.46235432e-22]",92.0,75.0,2,-0.784,0.14,810,4.208196794789588
134,"[-3.74734561e-23 -1.03196985e-22  1.03170161e-22 ...  6.66901426e-23
 -2.11976383e-22 -2.95329362e-22]",120.0,105.0,0,0.451,-0.149,810,5.773239938853897
135,"[-1.08255700e-22  5.93579369e-23  5.78468145e-23 ... -6.47447337e-23
 -1.97899590e-23  2.82252578e-23]",76.0,21.0,0,-0.135,0.625,810,1.4895241988577914
136,"[ 1.32401673e-22  8.60076670e-23 -9.84512530e-24 ... -2.78490059e-23
 -1.58900329e-22 -1.38038890e-22]",31.0,7.0,1,0.435,0.493,810,0.5544613318644989
137,"[-3.96888579e-23  5.56242735e-23 -2.07562922e-22 ... -5.30154357e-24
 -6.43089047e-23 -9.45444386e-23]",119.0,26.0,2,-0.026,-0.467,810,2.0639230700052766
138,"[-7.14729769e-23 -1.09585978e-22 -8.26567234e-23 ... -9.19647759e-23
  8.03188470e-23  8.80414544e-23]",133.0,56.0,0,-0.447,-0.287,810,3.8968078823117676
139,"[-5.48861660e-23  1.63113532e-23  1.61430649e-23 ... -3.68017163e-23
 -2.44124376e-23  4.92530174e-23]",120.0,84.0,0,0.59,0.089,810,3.9155776762539665
140,"[-1.73166051e-22  2.56958970e-23 -4.02417268e-23 ... -9.49208196e-23
  1.86781584e-23  1.18030382e-22]",42.0,3.0,2,0.043,-0.518,810,0.27201747713114094
141,"[ 2.69853080e-22 -2.13765987e-23 -1.13989007e-22 ...  6.97941679e-24
 -1.19106297e-22  1.03792733e-22]",63.0,43.0,1,0.32,-0.046,810,2.7713904263318483
142,"[-3.08109229e-22  3.37762434e-22 -9.81257206e-23 ...  6.91041016e-23
 -2.54420174e-22  1.58517144e-22]",39.0,21.0,2,-0.284,-0.225,810,1.175763167467255
143,"[ 1.42950891e-22 -2.03673570e-23  6.15242022e-23 ... -1.83428267e-23
  1.93001871e-22 -4.21686969e-23]",49.0,13.0,0,-0.062,0.034,810,0.9803073848267504
144,"[ 1.94588524e-22 -1.41260371e-22  2.53670644e-23 ... -8.21825141e-23
  8.56077645e-23  6.31169066e-23]",78.0,19.0,1,-0.54,0.444,810,1.5603661430137905
