,Waveform,m1,m2,Merger Position,spin1z,spin2z,Distance,PSNAR
29,"[-4.91069014e-24 -1.60789333e-22 -4.55287488e-24 ... -2.64848023e-23
  7.50892238e-23 -2.30150528e-22]",137.0,12.0,1,-0.288,-0.001,610,1.3565877206475734
30,"[ 5.95181712e-23  1.04917520e-22 -4.34589357e-23 ... -9.42961052e-24
  1.19131414e-22 -1.12814219e-22]",145.0,112.0,2,-0.227,-0.213,610,9.351336642389947
31,"[-1.26780840e-22 -2.36080636e-22  4.73487003e-23 ... -1.67714436e-22
  1.16089175e-22 -2.19885584e-22]",84.0,28.0,2,-0.072,-0.728,610,2.8479276438164876
32,"[-1.19027723e-22  1.20471449e-22  9.48638382e-23 ...  1.71704161e-22
  3.01602677e-23  1.37612809e-22]",147.0,45.0,2,-0.546,-0.541,610,4.371389834058505
33,"[-6.21681738e-23 -5.91950321e-23  5.29510990e-23 ...  2.29353275e-23
  1.52317649e-22  1.54536140e-22]",146.0,80.0,0,0.168,0.149,610,5.906020734952062
34,"[ 5.57503853e-24  2.00584551e-22 -2.01695171e-23 ...  3.97747627e-23
  1.17203855e-22  8.52039416e-23]",92.0,7.0,0,0.688,0.116,610,0.8171034874135801
35,"[ 5.18341000e-23  5.98981715e-23  5.08972510e-23 ...  2.16144741e-22
 -4.39007561e-23  1.04691507e-22]",125.0,124.0,2,0.631,0.282,610,8.273193459949455
36,"[ 5.29090251e-23 -2.37558752e-23 -9.87405891e-23 ... -4.40066191e-23
 -1.06405041e-22 -1.09053396e-22]",109.0,31.0,1,0.769,0.418,610,2.8977331810304707
37,"[-2.25540526e-22  2.04937810e-22 -4.47328193e-22 ...  1.09145575e-22
  3.57705622e-23  2.59409249e-23]",53.0,17.0,2,-0.786,0.47,610,1.7874671473333057
38,"[-3.67172160e-23  2.00094349e-22 -4.67344317e-23 ...  2.53509145e-22
 -6.36121337e-23  1.21305296e-22]",122.0,76.0,2,0.292,0.042,610,5.984499016513596
39,"[ 3.62255799e-23  4.70737078e-23 -1.72297226e-22 ...  2.99779712e-22
 -3.64081902e-24 -1.41848702e-23]",108.0,18.0,2,0.725,-0.351,610,1.9333685005155294
40,"[ 1.27435468e-22 -4.46773971e-23  1.90730810e-22 ... -1.89558486e-22
  3.42681210e-23  2.20351043e-22]",76.0,8.0,0,-0.561,-0.072,610,0.8797650269118913
41,"[ 2.01527578e-22 -7.24884477e-23  1.49489512e-24 ... -6.45639101e-23
  7.45368002e-23 -1.05306996e-22]",105.0,27.0,2,0.615,-0.047,610,2.9295404260090283
42,"[-2.75703680e-22  2.07943253e-22 -5.22980795e-23 ...  2.08618874e-22
 -6.24282261e-23  1.61402321e-23]",79.0,63.805,0,-0.032,0.252,610,5.1648032060147875
43,"[ 2.48209895e-23 -2.96840290e-22 -4.05364652e-23 ... -2.45843566e-23
  9.25908793e-23  7.02017899e-23]",51.0,8.0,1,0.468,-0.724,610,0.9026727024371676
44,"[ 5.83992484e-23 -8.93731838e-23 -2.91831050e-22 ...  2.70424160e-23
 -1.60102822e-22  1.43690174e-22]",144.0,85.0,2,0.055,-0.052,610,7.303863115019462
45,"[ 1.52722972e-22 -4.10431820e-23  8.93785001e-23 ...  1.66926795e-22
  3.64761252e-23  1.33734286e-22]",141.0,20.0,2,-0.688,0.454,610,2.0162205684208097
46,"[-7.65280286e-23  7.82654362e-23  2.01145334e-23 ... -1.56991952e-22
  7.28028410e-24 -2.39360274e-22]",128.0,13.0,0,0.11,0.286,610,1.3250461987739377
47,"[-5.61094780e-23  1.73848577e-22  2.66387682e-22 ... -1.09423279e-22
 -8.75057392e-24 -1.28016605e-22]",94.0,54.0,0,0.339,0.474,610,4.688084396649909
48,"[-1.46958471e-22  7.39847057e-23  1.07469282e-23 ...  6.50148795e-23
 -2.87284836e-22  2.77652787e-23]",130.0,120.0,2,0.001,0.084,610,9.159941059067458
49,"[ 4.69674816e-23 -5.00205338e-23  1.96965764e-22 ... -3.93050191e-23
 -1.30689426e-23  1.39231070e-22]",95.0,95.0,1,0.063,0.055,610,6.761657874449008
50,"[ 6.64473327e-23 -1.07556472e-24 -6.48192004e-23 ...  1.87925094e-22
 -1.36322142e-22 -1.00079265e-22]",113.0,6.0,2,0.456,-0.776,610,0.6194687038454916
51,"[-1.94515651e-22  1.95363072e-23 -4.16506063e-23 ... -8.09425732e-24
  3.20603776e-22 -4.80365343e-23]",96.0,43.0,2,0.681,-0.229,610,3.9178574287085874
52,"[ 1.12554048e-22 -1.51407058e-22 -3.68057542e-23 ... -1.79828549e-22
 -4.09953622e-23  1.01509270e-22]",12.0,2.0,0,0.261,-0.352,610,0.20486764833788318
53,"[-3.79833893e-23 -2.36300219e-22  3.99510044e-23 ... -1.88642852e-22
  5.06905356e-23  3.62776147e-23]",118.0,68.0,1,-0.106,-0.406,610,5.116219558022207
54,"[ 1.72282100e-24 -1.11720544e-22 -1.13294402e-22 ... -8.07884258e-23
 -1.08863237e-22  1.34476518e-22]",140.0,39.0,0,-0.308,-0.719,610,3.951318669243722
55,"[ 8.19280284e-23  7.05364671e-23 -2.37047108e-22 ... -3.22501698e-22
  6.41489811e-23  7.88973196e-23]",133.0,8.0,2,0.223,-0.482,610,1.0172433832724967
56,"[-2.16931016e-23  2.28459115e-22  1.52210850e-22 ... -9.52822505e-23
  6.92097456e-23  7.31864138e-23]",109.0,87.0,1,-0.676,-0.152,610,6.7406777139080845
57,"[ 8.38818090e-23 -1.25224597e-22  4.56091712e-23 ...  7.04950412e-23
 -2.61291346e-22 -1.88082908e-23]",132.0,46.0,0,0.675,-0.38,610,4.398969303352878
58,"[-1.40075253e-22  5.56217759e-24 -8.33515424e-23 ... -7.90462925e-23
 -9.12223782e-23  3.49399066e-23]",97.0,50.516,1,0.698,0.629,610,4.3877559852219
59,"[ 2.32350064e-22 -7.76321076e-23  3.91661925e-23 ... -2.97113853e-23
  8.75004694e-24  1.78340841e-22]",19.0,18.0,1,0.101,-0.688,610,1.2712138112499078
60,"[ 9.44993039e-23 -2.40922627e-22  1.18376312e-22 ... -2.45816350e-23
 -4.13217378e-24  5.91157881e-23]",145.0,119.0,2,0.096,-0.129,610,9.052473011046459
61,"[-5.26931793e-23 -3.27094125e-23  4.91825423e-23 ... -6.92298817e-23
  3.37056767e-23 -2.95049523e-23]",86.0,20.0,1,0.24,0.407,610,1.8730021119564328
62,"[ 9.02751712e-23 -1.14507480e-22 -3.54958462e-23 ... -1.28944083e-22
  1.73082884e-23 -2.56046371e-22]",143.0,121.0,1,-0.042,-0.395,610,9.772484098369356
63,"[-1.36345975e-22 -1.31319093e-23  7.34623189e-23 ... -1.54275967e-22
  1.26071870e-22 -1.91629211e-22]",115.0,71.0,2,-0.664,-0.779,610,5.197736735810673
64,"[ 2.84617874e-23  2.17525059e-22 -1.17995524e-22 ... -3.73946400e-23
 -1.42940795e-22  1.64563705e-22]",147.0,78.0,0,-0.051,-0.624,610,7.160332725000821
65,"[-1.20016274e-22 -1.27192514e-22 -1.23614799e-22 ... -1.27189692e-25
  1.79210039e-22 -6.18852937e-24]",138.0,89.0,0,0.045,-0.396,610,7.464043866578892
66,"[ 1.29745494e-22 -2.13256658e-22 -2.14459604e-22 ... -8.75086765e-23
  4.59191143e-23 -1.95888957e-22]",65.0,10.0,2,-0.254,0.57,610,1.2189074060722274
67,"[ 2.49379564e-22 -5.24660232e-23  1.09596262e-22 ... -8.40754837e-23
  1.97541042e-23 -2.33692966e-23]",138.0,99.0,2,-0.68,-0.127,610,8.620019209891517
68,"[-2.72075472e-23 -8.14011881e-23 -1.29457183e-22 ...  8.12196164e-23
 -7.00925794e-23  1.17817483e-22]",139.0,20.0,2,-0.003,0.559,610,2.519809803340346
69,"[-1.65010033e-22  3.81757207e-23 -1.74069668e-23 ... -2.07794206e-23
 -1.52777884e-22  1.32577129e-22]",63.0,35.0,2,0.608,-0.106,610,3.178740822827198
70,"[ 8.34686365e-23  5.42316535e-23  2.98516718e-24 ... -2.20690210e-22
  1.49161441e-22 -1.04529628e-22]",128.0,45.0,2,0.607,0.727,610,4.476698156529282
71,"[ 1.18425437e-23 -4.31866124e-23  7.03684382e-23 ...  3.36920702e-23
  1.55397249e-23 -1.34094110e-22]",83.0,14.0,2,-0.479,0.0,610,1.725168765405661
72,"[-6.88902487e-24  1.62465390e-22 -2.88604243e-22 ... -2.82991432e-22
  9.82521277e-23 -1.95890183e-23]",140.0,129.0,1,0.407,-0.693,610,9.197778966961707
73,"[ 1.54593976e-22  7.55532181e-23 -7.60361856e-24 ... -3.28608422e-22
  1.03261279e-22 -1.68197191e-22]",78.0,47.0,2,-0.507,0.231,610,3.9710607225350043
74,"[ 2.14610036e-22 -1.58081952e-22  5.60250962e-23 ...  1.42545697e-22
 -9.44805308e-23  7.26145808e-23]",90.0,10.0,1,0.035,0.223,610,1.1150773296285237
75,"[ 1.42629064e-22  2.58096490e-23 -1.95146299e-22 ...  7.55549370e-23
  6.54202670e-23  1.42616892e-22]",19.0,16.0,2,0.086,0.696,610,1.190289089352754
76,"[ 8.75027012e-23  2.67229567e-22 -2.95484572e-23 ...  1.24485244e-22
  2.38084150e-23 -7.70661853e-23]",141.0,7.0,1,0.506,-0.244,610,0.7943379413901567
77,"[ 1.49805831e-22 -1.67187811e-22 -5.07983234e-23 ... -1.27624714e-22
  1.70510179e-23 -1.72775753e-22]",107.0,93.0,0,0.164,0.627,610,6.517721393105252
78,"[-5.74049004e-23  1.65453948e-23  1.71140012e-22 ...  2.54982677e-22
 -9.03563005e-23  7.49282151e-23]",102.0,47.0,1,0.412,0.305,610,4.264284316462643
79,"[ 8.90513711e-23 -6.96447312e-23 -8.68578301e-23 ... -1.49586871e-22
 -6.14336690e-24 -1.57574771e-22]",76.0,66.0,1,0.478,0.074,610,4.357834472388202
80,"[ 4.15096810e-23  8.71739789e-23  5.04560335e-23 ...  1.63133600e-22
 -3.56172149e-23 -7.49331942e-24]",78.0,50.0,1,-0.052,-0.072,610,4.135139151172853
81,"[-1.02888923e-22  1.73655005e-22 -1.08389113e-22 ... -1.20138153e-22
  1.59250672e-22  1.29254793e-22]",148.0,77.0,2,0.607,-0.663,610,7.26512282013831
82,"[ 5.41954200e-23  8.40551348e-23 -5.23664204e-23 ... -1.12600239e-22
  1.32773064e-22 -1.71624115e-22]",81.0,26.0,2,0.087,-0.06,610,2.5661925209016276
83,"[-1.23355783e-22  6.87686262e-23 -1.18693330e-22 ... -1.19308467e-23
 -1.08025994e-22  9.99864934e-23]",133.0,51.0,2,0.272,-0.581,610,4.346626115706075
84,"[ 2.46939124e-22 -1.38175086e-22 -2.57477199e-23 ...  1.43912617e-22
  1.39598032e-22  2.20167090e-22]",97.0,78.811,2,0.551,-0.615,610,6.190901003195504
85,"[-2.06694457e-23 -8.40985776e-23 -2.77543684e-22 ...  8.55903609e-24
 -1.93110165e-22  7.80839410e-23]",119.0,111.0,1,0.391,-0.318,610,8.262605782170885
86,"[ 2.19255812e-22 -2.88060387e-22  7.18771777e-23 ... -1.41366299e-22
  3.06666856e-22 -2.06579640e-22]",96.0,68.0,0,-0.531,0.072,610,5.053216472696753
87,"[-2.43915404e-22  1.30820200e-24  9.29083384e-24 ... -1.84013595e-22
  7.32246638e-23  8.88080834e-23]",67.0,33.0,1,-0.046,-0.024,610,2.696953735865476
88,"[-9.24277102e-23  1.55791062e-23  2.26357141e-23 ... -1.31568302e-22
  4.10780083e-23  4.67981779e-23]",38.0,27.0,0,0.573,-0.793,610,2.1756900434889213
89,"[-1.49278567e-22  2.73832170e-22 -1.63696995e-22 ... -5.93828398e-23
 -6.65688295e-23  1.04589861e-22]",57.0,22.0,1,-0.607,0.116,610,2.2587092207749797
90,"[-1.06744890e-22  2.55427595e-22  4.82147799e-23 ... -8.51832212e-24
 -1.40225363e-22  1.59216762e-22]",82.0,78.0,0,0.722,0.195,610,4.9880959302258985
91,"[-1.29616458e-23  9.44077964e-23 -1.59862465e-22 ...  1.06664549e-22
 -1.15620578e-22 -8.85722777e-23]",137.0,73.0,0,0.277,0.636,610,6.523508610852324
92,"[ 4.48084075e-23  1.04708447e-22  4.94868703e-24 ...  1.09627878e-23
 -2.32577774e-23  4.22882385e-23]",113.0,106.0,2,0.261,-0.363,610,7.442743060909808
93,"[-6.16055737e-23 -9.69018741e-24  1.24415166e-22 ... -2.50393431e-22
  5.73514691e-23  2.88426969e-22]",102.0,86.0,2,-0.232,0.097,610,6.827342567856469
94,"[-1.26313777e-22  1.10641025e-22  1.04350320e-22 ... -6.20864428e-23
  1.92411823e-22 -1.91351932e-22]",103.0,87.0,1,-0.423,0.444,610,7.028147360367615
95,"[ 1.57884737e-22  8.91695446e-23 -5.96686842e-23 ... -9.25892888e-23
  8.25816486e-23 -6.89902833e-23]",146.0,16.0,0,-0.079,0.792,610,1.6596827782676014
96,"[ 9.74668991e-23 -1.02453535e-22  1.48214287e-22 ... -1.50153938e-22
  7.40135458e-23 -6.04144855e-23]",110.0,67.611,1,0.516,0.763,610,5.767757841529121
97,"[-2.52590785e-22  8.11621132e-23 -1.77822365e-22 ... -8.06067416e-23
  8.95331698e-23  6.52322894e-23]",103.0,79.0,0,0.789,0.008,610,6.046426164031405
98,"[-6.78416534e-23 -1.72953042e-23 -1.18883483e-22 ... -1.81635163e-22
 -5.25973764e-23  2.31423891e-22]",114.0,84.0,1,0.039,-0.628,610,6.881061178583798
99,"[ 9.59141574e-23 -2.32978920e-22 -1.80184385e-22 ...  2.41648496e-23
  1.72292031e-22 -1.37915840e-22]",133.0,133.0,0,-0.243,0.253,610,8.367705623877734
100,"[-6.68098780e-23  3.07913155e-22  1.43744605e-22 ... -1.37413320e-22
  9.36423296e-23 -2.84339604e-22]",98.0,35.0,1,-0.182,-0.026,610,3.758742472236755
101,"[-2.42774661e-23  1.84272003e-22  1.17517451e-22 ... -8.45981810e-23
 -3.71339825e-23  1.69787721e-23]",90.0,24.0,0,-0.289,-0.63,610,2.7739269639158715
102,"[ 4.41598405e-23 -1.70882799e-22  2.22418900e-22 ...  1.35058551e-22
  1.96031228e-22 -9.32177123e-23]",44.0,16.0,2,0.773,0.082,610,1.730572146045944
103,"[-3.40854039e-23  9.87160453e-23 -1.50339261e-22 ...  1.39111876e-22
 -1.30332579e-22  9.04159223e-24]",11.0,3.0,2,0.629,0.44,610,0.3029563563751905
104,"[ 2.57788063e-22 -6.11851408e-23 -4.41305976e-24 ... -1.25332719e-22
  3.02976598e-22 -1.43154927e-22]",69.0,51.0,1,-0.738,0.009,610,4.123376956141059
105,"[ 1.40636038e-23  1.13947722e-22  1.97525991e-22 ...  1.29834020e-23
 -5.29246269e-23  1.83849423e-22]",103.0,70.0,2,-0.423,-0.421,610,6.226070497133686
106,"[-1.80255483e-22 -9.68063284e-23  7.22285077e-23 ...  8.53928596e-23
  2.01424528e-22  2.61741589e-22]",138.0,125.0,2,-0.261,0.18,610,9.123959834902973
107,"[ 2.08059283e-22 -9.26332513e-23 -1.09238796e-22 ... -1.47853761e-22
 -6.38901163e-23 -1.74307052e-22]",50.0,15.0,2,-0.351,0.544,610,1.3827591504546175
108,"[-1.39003861e-22  2.51138598e-22 -1.25708375e-22 ...  3.78949570e-23
  7.47149234e-23  1.66535345e-22]",133.0,21.0,2,0.432,0.605,610,2.0734258823452665
109,"[ 9.43716393e-23 -1.82782514e-22 -2.62481171e-23 ... -1.26341572e-22
 -5.55772982e-23 -6.85079311e-23]",137.0,115.0,2,0.399,0.255,610,8.76061361200853
110,"[-1.17131975e-22 -1.04578299e-22  2.33926907e-22 ...  7.95524541e-23
  5.64662269e-23  6.50389728e-23]",84.0,20.0,1,0.601,-0.055,610,2.243334935213034
111,"[ 1.11502123e-22  1.56146322e-22 -2.07617827e-22 ...  1.85196031e-22
  2.64447190e-23  6.02087170e-23]",92.0,11.0,0,0.062,0.756,610,1.3136486887454648
112,"[-1.11590244e-22 -9.53949502e-23 -2.46907214e-23 ...  3.14124982e-23
 -2.18374826e-22 -1.19810502e-22]",100.0,66.0,0,-0.201,-0.197,610,5.758148496246687
113,"[ 8.39322047e-23 -1.89466470e-22  1.99144916e-23 ... -5.78300026e-23
 -1.41080440e-22  7.33441833e-23]",149.0,94.0,0,0.638,0.748,610,7.901700053487573
114,"[-2.68817447e-23 -1.36221336e-22  7.38409966e-23 ... -1.07970286e-22
  3.96937230e-22 -1.95103016e-22]",143.0,127.0,0,0.514,-0.464,610,6.916029116813496
115,"[-2.96883028e-23  1.08737006e-22  2.29779713e-23 ... -2.34649159e-22
 -2.09529776e-23 -5.80033819e-23]",82.0,36.0,1,-0.16,0.035,610,3.4932998764118133
116,"[-5.87390003e-23  3.60889488e-23  1.13572052e-22 ...  1.48869927e-22
 -7.05789157e-23  1.73148225e-22]",132.0,75.0,2,0.054,-0.474,610,6.523015932667949
117,"[ 2.73507106e-23  2.01279974e-23  1.57168413e-22 ... -2.84071423e-22
  3.97749150e-23 -2.67251531e-22]",90.0,41.0,0,0.078,0.516,610,4.035915908045619
118,"[ 2.77780200e-23 -1.54690295e-22 -1.17244068e-22 ... -3.23659335e-22
  4.64087309e-23 -2.16243068e-22]",137.0,124.0,0,0.271,0.752,610,9.079708354352315
119,"[-1.80640126e-22 -3.93713114e-23 -2.71510642e-22 ...  1.87276174e-22
 -9.00712009e-23 -9.34304943e-23]",85.0,44.0,1,-0.357,-0.141,610,4.41361264840849
120,"[-8.27039905e-23  5.97942391e-23  2.36752847e-22 ... -2.30999882e-22
 -3.91506431e-23 -2.86333018e-22]",107.0,72.0,2,-0.399,0.097,610,5.341909531800586
121,"[ 4.43408181e-23  3.93202698e-23 -2.05973738e-22 ... -1.18709621e-22
  2.45041500e-23  9.21234349e-24]",138.0,11.0,2,-0.278,0.103,610,1.2641147069843417
122,"[ 1.80313033e-23 -1.19017395e-23  2.47427113e-22 ...  3.30985220e-22
  1.85468542e-22 -7.20176883e-23]",82.0,18.0,0,0.554,-0.268,610,1.907258334443625
123,"[ 1.18089070e-22 -1.99799165e-23  5.65340867e-24 ... -1.19974427e-23
 -1.45808478e-22 -1.73179587e-22]",146.0,82.0,1,0.563,0.275,610,7.8088062276104395
124,"[ 2.54447848e-22 -2.52099790e-22 -1.02435607e-22 ...  1.23817524e-22
 -1.44244465e-22  7.58374199e-23]",135.0,23.0,2,0.376,0.373,610,2.7228076920988658
125,"[-6.15903425e-23 -5.17449584e-23 -1.58098440e-22 ... -1.14858837e-22
  5.95375988e-23 -1.21691458e-22]",139.0,135.0,1,-0.586,-0.093,610,9.466580817678885
126,"[-3.67134410e-23 -3.51822669e-23 -2.16312683e-22 ...  3.76498285e-23
  1.04637206e-22 -2.04392168e-23]",135.0,50.0,0,0.155,-0.021,610,5.324133529858534
127,"[-4.31097762e-23 -6.21894217e-23  1.42821478e-22 ... -5.00336743e-23
  8.08036320e-23 -1.16073357e-22]",139.0,48.0,2,-0.336,-0.144,610,5.395125656166088
128,"[-1.76131874e-22 -3.39511207e-23 -1.28771394e-22 ...  2.60456082e-22
 -2.67847912e-22 -4.23920613e-23]",40.0,35.0,0,0.68,-0.658,610,2.463250538244077
129,"[-8.75045922e-24  2.68661861e-23  6.00069648e-23 ...  3.11671956e-23
  1.58857846e-23  1.01387947e-22]",147.0,142.0,0,-0.138,-0.507,610,9.641660148934465
130,"[-1.48063876e-22  2.51722780e-22  4.99363241e-23 ... -1.13562495e-22
 -4.67405782e-23  4.95912636e-23]",63.0,52.0,1,-0.186,0.164,610,4.13928269384877
131,"[-9.09146976e-23 -4.04160555e-23 -1.01508174e-22 ... -2.37490679e-23
 -1.53979049e-22  3.05067555e-22]",148.0,22.0,2,-0.681,-0.685,610,2.2811964667677582
132,"[-1.20988491e-23  1.65111771e-22  5.89296862e-24 ...  8.92651464e-23
 -1.90200742e-23  8.22115269e-23]",79.0,72.922,1,0.355,0.763,610,5.323570027954396
133,"[ 4.14410141e-23  1.81848338e-22 -4.93019062e-23 ... -2.91781740e-23
 -1.21346224e-22 -1.76598983e-22]",144.0,7.0,0,0.611,-0.709,610,0.883686908789073
134,"[ 1.21406756e-22  4.89847567e-23  1.71784902e-23 ... -1.16777846e-22
 -6.57536010e-23  3.94766977e-23]",104.0,23.0,2,-0.459,0.318,610,2.684785265762098
135,"[ 7.25966537e-23 -4.17237309e-23  4.97275747e-23 ... -5.48404560e-23
 -9.91280391e-23  6.19720808e-23]",38.0,13.0,1,-0.424,-0.424,610,1.3152867093336886
136,"[-4.12382178e-22  1.07917080e-22 -2.41302460e-22 ...  1.31069200e-22
  6.95680914e-23  2.00460398e-22]",117.0,101.0,2,0.04,-0.184,610,7.5319760853699025
137,"[-3.55154530e-23  1.66920703e-22  1.04885496e-22 ...  1.94045387e-22
  3.58680141e-23  1.93871886e-22]",148.0,134.0,1,-0.502,-0.071,610,9.59566285992424
138,"[-1.45483386e-22 -6.18820683e-23 -3.68633068e-23 ... -1.51555635e-23
  1.27161616e-22 -1.52033557e-24]",88.0,14.0,2,-0.375,0.709,610,1.3715287286939908
139,"[-5.03120464e-23 -2.75993466e-23 -1.41832424e-22 ... -3.74457359e-23
 -1.57707702e-22 -1.21798677e-22]",97.0,12.116,1,0.626,-0.166,610,1.4202067742536955
140,"[-2.69312115e-22  8.44192681e-23 -5.42689432e-23 ... -1.33869858e-22
  3.92106869e-24 -3.28887657e-23]",99.0,72.0,0,-0.28,0.266,610,5.689761781963869
141,"[ 8.04741767e-23 -2.55166524e-22  1.11318126e-22 ...  1.80845154e-22
 -8.39313506e-23  9.12530974e-23]",60.0,39.0,1,-0.684,0.338,610,3.0934485319349236
142,"[ 1.99831521e-22 -2.32769034e-22  1.10400969e-22 ...  2.14524984e-22
 -1.47082853e-23 -1.92867034e-22]",90.0,8.0,1,0.213,-0.263,610,0.9306452990994303
143,"[ 9.38274257e-23 -1.13496462e-22 -4.29600866e-24 ...  1.36421202e-22
 -4.76052762e-23  8.09569296e-23]",137.0,34.0,0,-0.501,0.783,610,3.442143368386761
144,"[ 2.94836465e-22  1.11581569e-22 -2.50557012e-22 ...  1.03571353e-22
  5.47277773e-23  2.49478797e-22]",52.0,28.0,2,-0.035,-0.126,610,1.9212258101545359
