,Waveform,m1,m2,Merger Position,Distance,PSNAR
29,"[ 6.11696547e-22  7.75513324e-22  6.11962069e-22 ...  3.02491733e-22
  6.11296594e-23 -6.73968709e-23]",72.0,62.0,2,610,4.871038153279628
30,"[ 2.20181699e-22 -8.89538811e-23  2.56129720e-22 ... -1.49226719e-23
  2.34170017e-22 -1.87280495e-22]",39.0,28.0,2,610,2.771195957729853
31,"[ 3.33723842e-22  4.76629395e-22  5.04494924e-22 ... -4.96271448e-23
 -5.44749291e-23 -2.11703035e-22]",73.0,69.0,1,610,5.460991799517649
32,"[-2.84571547e-22 -3.35172784e-23 -1.77284592e-22 ...  3.46422168e-23
 -1.34021377e-22 -2.66171692e-22]",122.0,76.0,0,610,7.082363709026714
33,"[ 1.66418062e-22  1.27791391e-22 -7.39963149e-23 ...  3.52977152e-23
  4.48523893e-22 -1.02605406e-22]",133.0,28.0,0,610,3.126851980928713
34,"[-4.32262254e-22 -4.83240949e-22 -4.99424875e-22 ...  7.17713760e-23
 -2.96337882e-22  1.42310306e-22]",111.0,37.0,1,610,3.7876147002496787
35,"[-3.65332690e-22 -4.84258085e-22 -5.17600193e-22 ...  3.58301562e-23
  1.26375198e-22  1.20068581e-23]",118.0,66.0,0,610,5.845124470814458
36,"[-9.21666828e-22 -9.30233036e-22 -7.03092524e-22 ...  8.22762682e-23
 -1.98091002e-22  5.96982956e-23]",99.0,74.0,1,610,5.5840243972909525
37,"[ 7.38120806e-23 -1.83706003e-22  4.82399511e-23 ... -9.42554693e-24
  4.02420410e-24  7.36723986e-23]",59.0,51.0,0,610,3.9153384198252144
38,"[ 1.23103145e-22 -8.80286617e-24 -1.06734573e-22 ... -9.30884020e-23
  3.32758703e-24 -1.10549393e-22]",138.0,54.0,0,610,5.600803604021159
39,"[ 3.41276761e-22  7.44133177e-22  5.18452860e-22 ... -4.99187249e-23
  6.86232095e-23  1.57854296e-22]",79.0,43.545,2,610,3.594852254473914
40,"[ 4.75327384e-22  4.46164810e-22  7.83633779e-22 ...  2.18981313e-22
 -4.18781102e-22 -2.21077393e-23]",126.0,43.0,0,610,4.809278068172416
41,"[ 7.21513006e-22  7.70386860e-22  5.95942341e-22 ... -1.84352837e-22
  1.17559032e-22  8.12868318e-23]",104.0,76.0,1,610,6.059464797548836
42,"[-5.25122410e-22 -1.41703442e-22 -1.35054007e-22 ... -6.59225656e-23
 -4.35077274e-23 -2.16754614e-22]",138.0,112.0,2,610,9.366194715476428
43,"[-4.03041264e-22 -3.40485817e-22 -2.06265896e-22 ...  9.81187431e-23
  1.27421511e-23 -1.26442602e-22]",129.0,111.0,0,610,7.225048237601112
44,"[-1.08518333e-22 -2.89900390e-22 -4.75275497e-22 ...  2.15302186e-22
 -2.94561147e-23 -7.12247741e-23]",90.0,20.0,1,610,1.987670059472856
45,"[-1.49380304e-23 -1.10174588e-22 -2.62618916e-22 ...  1.90528636e-22
 -1.76875976e-22 -6.28692439e-23]",17.0,5.0,1,610,0.5181124064617947
46,"[-2.03638197e-22 -2.90115902e-22 -3.03773356e-22 ...  9.07689606e-24
 -5.61948413e-23  7.98236205e-24]",144.0,32.0,0,610,3.749781853965863
47,"[-4.97325400e-22 -3.51639795e-22 -4.57890071e-22 ...  4.54637058e-23
  1.07227498e-22  8.26000174e-23]",60.0,52.0,1,610,4.154577974404483
48,"[-5.43401206e-22 -4.19453326e-22 -5.28864893e-22 ...  1.60268595e-22
  5.48561509e-23 -6.79667009e-23]",132.0,52.0,1,610,5.265405518632242
49,"[-5.88179905e-22 -1.17556159e-21 -7.22611486e-22 ...  5.81902495e-23
  3.25850286e-23 -4.10617332e-23]",91.0,82.0,1,610,5.483597519578955
50,"[-4.85119876e-22 -6.04945287e-22 -5.72043301e-22 ...  3.08306287e-22
 -3.47290286e-23 -1.10258722e-22]",61.0,42.0,2,610,3.811772972200704
51,"[-3.60599409e-22 -2.82315246e-22 -1.94376014e-22 ...  3.42394364e-23
 -6.66954452e-23 -1.07611581e-22]",124.0,23.0,1,610,2.4805774077031697
52,"[5.07926954e-22 2.51504080e-22 5.20752333e-22 ... 6.02938411e-23
 1.63386402e-23 1.55657016e-22]",139.0,30.0,1,610,3.8327695006115867
53,"[ 2.29367277e-22  5.66843085e-23  7.70771088e-23 ... -3.54782935e-23
 -4.12883455e-23  3.73417976e-23]",27.0,2.0,2,610,0.2248993336515711
54,"[9.49377256e-22 1.09877423e-21 6.59366009e-22 ... 3.22196634e-23
 4.02414110e-23 1.00471171e-22]",97.0,66.684,2,610,4.7054623233127835
55,"[-1.46670047e-22 -2.66174134e-22 -1.70700187e-22 ... -1.18085559e-22
  1.78755254e-22  3.29969613e-22]",141.0,35.0,2,610,3.932744565763401
56,"[-6.04636848e-22 -8.11973628e-22 -6.70084894e-22 ... -7.52428658e-23
 -1.41835538e-22 -6.06788400e-23]",76.0,76.0,1,610,5.553805713479858
57,"[-1.11050314e-22 -2.99633946e-22 -6.28300802e-23 ...  3.15895004e-23
 -1.48435443e-23 -1.24729404e-22]",85.0,18.0,0,610,1.92614028579674
58,"[ 1.09156413e-22  1.81150552e-22  1.71124962e-22 ... -2.69642111e-22
 -1.33612184e-22  5.15898919e-23]",64.0,33.0,0,610,3.187005342722901
59,"[-2.37809169e-22  1.00235215e-22 -2.56851466e-22 ... -1.58304485e-22
  1.69179509e-23 -1.76935896e-22]",28.0,16.0,2,610,1.660200999979777
60,"[-8.66049028e-22 -3.50643151e-22 -5.71328900e-22 ... -3.74177584e-23
 -2.61509341e-22  1.82068160e-23]",142.0,48.0,2,610,4.73628024728728
61,"[-1.05125877e-22  7.35138098e-23  1.00262839e-23 ...  2.86187598e-23
  2.77050029e-22  1.27909499e-23]",50.0,3.0,1,610,0.38454321115963697
62,"[ 6.04600609e-22  4.66064099e-22  5.72070109e-22 ... -4.13162548e-23
 -2.32857202e-22 -5.71029020e-23]",116.0,41.0,1,610,4.079428085963587
63,"[-5.47823243e-22 -6.50330062e-22 -6.33512434e-22 ... -6.71720580e-23
  6.79767980e-23  7.26292588e-23]",137.0,76.0,1,610,7.90352936626023
64,"[-1.41096390e-22 -1.43987410e-22 -3.99088944e-22 ...  4.44150784e-23
  2.08239622e-23  6.16390681e-23]",146.0,27.0,0,610,3.0187579236201807
65,"[-1.10188368e-21 -6.41355408e-22 -9.65749148e-22 ... -1.16425586e-22
 -1.57047855e-22  3.01068127e-23]",105.0,84.0,0,610,6.614318145512985
66,"[-4.61940701e-22 -5.00137739e-22 -5.97600735e-22 ... -1.64297746e-22
  5.68884622e-23 -8.92788143e-23]",117.0,40.0,1,610,3.3375815267545215
67,"[ 5.55551534e-22  5.12942106e-22  8.42139841e-22 ... -2.29592576e-22
 -4.65528738e-24  6.26942611e-23]",82.0,59.0,1,610,5.2099750967161
68,"[ 5.26320852e-22  4.80935917e-22  6.56806340e-22 ...  2.56871643e-22
 -2.29390417e-23 -1.16822368e-22]",118.0,68.0,1,610,5.69832041526281
69,"[-1.48262614e-22 -4.48656860e-22 -3.68132721e-23 ...  1.12837672e-22
  3.36174249e-23 -1.85851439e-24]",149.0,32.0,0,610,3.9380168094001466
70,"[-4.27015740e-22 -4.59030513e-22 -5.00649578e-22 ...  2.21642738e-22
 -9.97712061e-23  1.12410514e-22]",91.0,79.0,1,610,6.156563499575599
71,"[ 3.43590649e-22  3.36044074e-22  2.59260983e-22 ... -9.13301208e-23
 -1.81389790e-23  9.03318474e-23]",136.0,18.0,1,610,2.2803745045124937
72,"[-1.53415338e-22 -2.61521949e-22 -5.63617398e-22 ... -2.52288772e-22
  8.53911715e-23  9.59253013e-23]",43.0,36.0,1,610,2.448111641730748
73,"[ 2.78111077e-22  4.69393550e-22 -7.51791139e-23 ...  1.27162980e-22
  1.54812908e-22  1.63545716e-23]",48.0,38.0,1,610,2.7911958034481774
74,"[-9.35379195e-22 -5.08081493e-22 -8.79663835e-22 ...  2.52735958e-22
 -1.66497982e-22  2.46224122e-23]",150.0,94.0,0,610,8.663480093518908
75,"[ 1.25792065e-23  6.77199744e-23 -4.06827026e-23 ... -2.87899978e-23
  1.48009722e-22 -4.98962846e-23]",81.0,1.0,0,610,0.17701860243515766
76,"[ 7.21654494e-22  6.15590580e-22  6.63250307e-22 ...  2.89995534e-22
 -1.16823568e-22  1.97381893e-22]",150.0,67.0,0,610,6.429606694621433
77,"[-2.83627876e-22 -8.18850793e-23 -8.75682291e-23 ... -7.25575367e-23
  2.16669857e-22 -1.06941704e-22]",69.0,43.0,2,610,4.124773880011014
78,"[ 4.21134351e-22  2.06702521e-22  2.36731905e-22 ... -1.21801993e-22
  6.85193445e-23 -4.74401777e-23]",130.0,77.0,0,610,6.702225346055137
79,"[ 5.85236650e-22  4.88039062e-22  2.36384829e-22 ... -1.18484032e-22
  2.86427891e-22  5.41311996e-23]",145.0,39.0,1,610,4.436604326209781
80,"[ 4.28260264e-22  5.16624292e-22  3.58847529e-22 ...  4.00982894e-23
 -6.16370311e-23 -4.67398883e-25]",128.0,36.0,2,610,4.407163842794897
81,"[ 3.11290287e-22  1.17696957e-23  9.07394433e-23 ...  1.46442815e-23
  1.26368790e-23 -2.31127044e-23]",42.0,32.0,0,610,2.620809183436114
82,"[ 7.88358174e-23 -2.07819343e-22 -2.49539300e-22 ... -8.14909184e-23
  8.65246534e-24 -1.08360017e-22]",36.0,4.0,1,610,0.46422305559600885
83,"[ 3.07713287e-22 -1.45369128e-22  3.61590615e-22 ... -8.45402843e-23
  1.44115112e-22 -1.18014379e-22]",84.0,34.0,0,610,2.975866589713624
84,"[ 5.87515287e-22  9.30649442e-22  7.37206978e-22 ... -4.49705154e-23
 -2.55467988e-22  8.84680898e-23]",106.0,76.0,1,610,6.949420019966452
85,"[-2.61952603e-22 -4.18890097e-22 -6.13089937e-23 ... -2.02151534e-22
  2.43631376e-22 -1.17323289e-22]",126.0,30.0,0,610,3.022178952243173
86,"[-4.28621903e-23 -4.21362107e-22 -4.42196988e-22 ...  8.65886473e-23
 -1.09023400e-22 -9.61771005e-23]",103.0,19.0,2,610,1.9658794083408035
87,"[ 1.10542331e-22 -3.85368784e-23  5.53755132e-23 ... -3.98671407e-23
  3.67762372e-23 -5.69320247e-23]",113.0,109.0,0,610,5.900216446011602
88,"[-4.34457652e-22 -4.29719762e-22 -5.20586381e-22 ... -1.69419819e-23
 -3.52549105e-22 -2.23577165e-23]",147.0,87.0,1,610,8.618670605962057
89,"[-3.72940917e-22 -3.48977693e-22 -2.09277357e-22 ...  1.04303590e-22
 -3.52336137e-22  2.07628546e-22]",130.0,50.0,0,610,5.000082368825855
90,"[-4.82645633e-22 -1.84361919e-22 -2.41246217e-22 ...  4.94992024e-23
 -2.25576889e-22  1.76514283e-22]",76.0,55.0,0,610,4.678748020868022
91,"[1.11086167e-22 1.76148049e-22 2.65021720e-23 ... 4.03524626e-23
 9.60881167e-23 4.79034309e-23]",67.0,1.0,2,610,0.18732032520018754
92,"[ 4.47789090e-22  2.47985541e-22  3.94932558e-22 ...  1.14395438e-22
 -2.80595961e-22  1.71200637e-23]",80.0,45.0,1,610,4.277510481782908
93,"[-1.47574680e-21 -1.23743157e-21 -1.39258035e-21 ... -1.26682476e-22
  6.20345393e-23  1.55613361e-23]",132.0,115.0,2,610,9.050827992761842
94,"[ 5.74364098e-24  7.19969657e-23  1.26275679e-22 ...  1.71623975e-22
 -1.04935461e-23  1.41954278e-22]",68.0,30.0,1,610,2.8468314598406215
95,"[-4.08983728e-22 -6.77380291e-22 -3.50726940e-22 ...  1.04671010e-22
  9.32572340e-23 -1.10379670e-22]",57.0,50.0,2,610,3.5439261955191386
96,"[-1.15089903e-22 -9.96589832e-23  1.65266478e-22 ... -7.92759441e-23
  2.74443335e-22  9.21624356e-23]",86.0,37.0,0,610,3.3873033194477564
97,"[ 9.98148821e-23  1.48948638e-22  8.16116899e-23 ... -2.06014314e-22
  1.13420312e-22 -1.21022620e-22]",150.0,16.0,1,610,1.7616057679186596
98,"[-2.26027020e-22 -1.65322779e-22 -2.00750553e-22 ... -3.55435661e-23
 -2.65865405e-22  1.11295390e-22]",31.0,27.0,1,610,2.253114786535303
99,"[ 8.70586501e-22  8.46406652e-22  7.51300523e-22 ... -9.97395009e-23
 -2.57744128e-22  1.60184256e-22]",123.0,82.669,1,610,7.307252047147607
100,"[-7.37158138e-24 -1.29759018e-22 -2.24938575e-22 ...  1.04987262e-22
 -4.70082701e-23 -4.06171475e-23]",35.0,15.0,1,610,1.3883096503900785
101,"[ 1.02138771e-22 -2.02312097e-23  3.46866045e-22 ... -8.73146324e-23
  6.26345158e-23  1.46493296e-23]",86.0,30.0,2,610,2.6559077899424266
102,"[ 5.39024644e-22  6.03705436e-22  1.01314663e-21 ...  4.87216620e-23
 -1.04943274e-22  1.22871317e-22]",104.0,44.0,2,610,4.684568810306667
103,"[ 9.17164376e-22  1.05387425e-21  7.28370353e-22 ...  6.64429720e-23
 -1.45239968e-22 -1.18820704e-22]",128.0,87.0,0,610,7.385710986706772
104,"[-1.32226640e-22 -7.51533699e-23 -2.90770019e-22 ... -2.38836990e-22
  3.23962023e-22 -6.33613558e-23]",121.0,23.0,1,610,2.7997848762639
105,"[-4.59652868e-22 -5.19610815e-22 -3.58800060e-22 ...  3.24774538e-23
 -1.31733740e-22  9.39421767e-23]",106.0,28.0,1,610,3.117735815850516
106,"[-6.77389999e-22 -6.46161526e-22 -4.40199908e-22 ... -1.34983394e-22
  6.21563812e-23  2.29004189e-23]",138.0,122.0,2,610,8.857229459666849
107,"[-3.76855750e-22 -5.40299304e-22 -7.13012057e-22 ... -1.22259804e-22
 -1.04685200e-23 -3.45844791e-22]",138.0,86.0,0,610,7.854147565766007
108,"[-1.16673821e-22 -4.21475378e-22  2.59483242e-23 ... -1.08850302e-22
 -2.41757104e-23 -1.58239916e-22]",125.0,115.0,0,610,8.651873049825177
109,"[ 7.01695683e-23 -5.27922700e-23  2.27983901e-23 ... -1.86905951e-22
  9.93459527e-23  8.94266550e-23]",21.0,20.0,2,610,1.3466420346307173
110,"[ 4.72951456e-22  4.68148804e-22  1.30276486e-22 ...  2.07648617e-23
  3.29563852e-23 -1.14901966e-22]",101.0,32.0,0,610,3.7379396330659187
111,"[ 1.18644985e-21  1.23188173e-21  1.00315582e-21 ... -1.50172312e-22
 -1.20566001e-22  6.11461706e-23]",140.0,103.0,2,610,8.11628495917365
112,"[-1.09577897e-22 -1.95386178e-22 -8.01096300e-23 ...  1.28934024e-22
 -2.25159377e-23  7.57071425e-23]",88.0,46.0,1,610,3.904006496069494
113,"[ 7.06544353e-22  3.76505560e-22  5.07895355e-22 ... -1.34356586e-22
  1.67375552e-22 -1.73971033e-22]",70.0,52.0,0,610,4.335656174175166
114,"[ 2.79867216e-22  3.27178282e-22  2.82074590e-22 ...  1.38591567e-22
 -1.94887901e-23 -3.21559151e-22]",108.0,12.0,2,610,1.4929303091110986
115,"[ 3.00790846e-22 -2.43306597e-23  2.97881910e-22 ... -5.94577749e-24
 -2.08528923e-22  1.03964075e-22]",78.0,11.0,2,610,1.271971845765146
116,"[ 5.93432659e-22  2.22401694e-22  3.79560173e-22 ...  2.12634797e-23
 -8.16204247e-23  2.08627939e-22]",65.0,29.0,1,610,2.7879586216379844
117,"[ 2.32617404e-22 -1.32392604e-23  1.30734939e-22 ...  1.25741097e-22
 -1.15899026e-22 -8.49225125e-24]",82.0,80.0,0,610,6.128228483746767
118,"[-9.11584768e-23  6.73710033e-23  7.76464796e-23 ... -9.93275384e-24
  1.61344971e-22 -2.20045621e-22]",21.0,4.0,0,610,0.49736358578816325
119,"[-1.29915083e-22 -2.49142097e-23 -2.89188972e-22 ...  1.99124417e-22
 -1.44764083e-22  4.39176125e-23]",50.0,28.0,1,610,2.604342030314339
120,"[-8.89789186e-24 -5.47556205e-23  9.50289796e-24 ... -1.64352206e-22
 -5.56891169e-23 -1.81876814e-23]",55.0,22.396,0,610,2.0141982372547615
121,"[-9.10178352e-22 -6.99553569e-22 -6.19052308e-22 ...  1.44570439e-22
 -1.14671231e-22  2.61285091e-22]",116.0,89.0,0,610,6.435511931262165
122,"[-6.18227105e-22 -6.10469056e-22 -5.11243139e-22 ...  7.94436946e-24
 -6.75710402e-23 -7.93782714e-23]",66.0,43.0,2,610,3.669085890871765
123,"[ 1.60158732e-22  1.42847663e-22  2.67249542e-22 ... -3.21764489e-22
 -5.28644850e-23 -2.16538848e-22]",41.0,14.0,2,610,1.4145661487187844
124,"[ 3.77881332e-22  4.42450543e-22  1.42741420e-22 ... -1.11867952e-22
 -1.42839485e-22 -9.34775755e-25]",52.0,52.0,1,610,3.730576915618147
125,"[-3.29688579e-22  1.87914959e-22  1.93832344e-22 ...  4.18057156e-22
  4.19871776e-24 -6.75080930e-23]",97.0,57.589,0,610,4.405713660380241
126,"[ 1.67002871e-21  1.62819623e-21  1.47468654e-21 ...  2.48121624e-22
  5.17638403e-23 -1.59820001e-23]",148.0,112.0,2,610,8.633946152141341
127,"[-3.47760932e-22 -5.95397811e-23 -2.85988053e-22 ... -1.05032752e-22
 -1.00186332e-22 -1.06365199e-22]",47.0,17.0,2,610,1.8326786004220912
128,"[-2.26122483e-22 -4.46326649e-22 -1.94279893e-22 ...  9.43364054e-24
  5.15827362e-23  5.66405728e-23]",47.0,8.0,1,610,0.9151891148220064
129,"[ 2.59268766e-22  1.11131514e-22 -4.64524522e-23 ...  6.59949372e-24
 -4.78026634e-23 -5.12126736e-23]",74.0,48.0,0,610,3.20315278995048
130,"[-2.84835644e-22 -9.65611063e-23 -9.56791428e-23 ...  6.38240562e-23
 -1.40311892e-22  1.16160526e-23]",33.0,24.0,1,610,1.838925614365108
131,"[ 1.12826686e-21  9.82936748e-22  1.00785849e-21 ...  1.14658381e-22
 -1.55764324e-23  3.54934913e-22]",113.0,105.0,2,610,8.824554785411626
132,"[-4.52206946e-23  1.05616854e-22 -3.08382997e-23 ...  2.61730345e-22
 -3.33068445e-23 -4.05485712e-23]",54.0,51.0,1,610,3.678540626220533
133,"[-2.66280272e-22 -3.09611756e-22 -5.52663099e-22 ...  1.91618901e-22
  5.87077412e-23  5.32027783e-23]",81.0,69.0,1,610,5.366222228960163
134,"[-4.28853167e-22  8.36828907e-23 -7.41343312e-23 ... -3.77353215e-23
  1.26405397e-22  6.64530544e-23]",88.0,23.0,0,610,2.503601580942919
135,"[-8.24642677e-23  2.72276753e-22 -9.96414647e-23 ...  1.80509138e-22
 -4.29241206e-23 -8.40931748e-23]",84.0,15.0,2,610,1.8992006940210804
136,"[ 2.24213335e-22  2.20018510e-22  2.72688968e-22 ... -8.83453115e-23
 -2.33627845e-22  3.53938940e-23]",27.0,24.0,1,610,1.955757647391276
137,"[-8.69880360e-22 -9.56402105e-22 -1.01455440e-21 ...  1.17350512e-22
 -1.31760799e-22  2.08544745e-22]",142.0,133.0,0,610,10.041555344151826
138,"[-1.20561462e-22 -1.69216779e-22 -2.00175788e-22 ... -5.17635097e-23
 -6.93228989e-23  2.03643134e-22]",87.0,57.0,1,610,4.7945730653871745
139,"[-4.83612802e-22 -2.50268664e-22 -3.15484332e-22 ... -2.01356718e-23
 -6.80173748e-23 -2.85637575e-22]",88.0,28.0,1,610,3.293527496490134
140,"[-1.01807954e-22  2.21685252e-22  5.51035331e-23 ...  1.63603644e-22
  8.99707926e-23  5.28124096e-24]",95.0,15.0,0,610,1.8135788667188502
141,"[-9.84105794e-22 -8.90136898e-22 -8.79258070e-22 ...  8.28021179e-23
  3.31349965e-23  7.33656966e-23]",137.0,58.0,2,610,6.842953965575956
142,"[-1.09721514e-24 -7.55091120e-23 -2.61124231e-22 ...  1.50677216e-22
 -5.25156920e-23 -3.86737529e-23]",132.0,109.0,0,610,8.164423408996797
143,"[-1.47999900e-22 -3.54896131e-22 -8.51421628e-23 ...  1.72775822e-22
 -2.69348781e-22 -1.22415001e-22]",56.0,41.0,2,610,3.222676982820938
144,"[-2.87296747e-23  3.13966224e-22  4.06216887e-22 ... -7.88168010e-23
  1.86279795e-22  6.53001132e-23]",96.0,11.0,0,610,1.4987712619308038
145,"[ 3.01685213e-22  6.44653390e-23  1.11266314e-22 ... -1.19477639e-22
 -8.68055752e-23  1.55455069e-22]",84.0,53.0,0,610,4.622559417488868
146,"[-1.30164566e-21 -1.18834009e-21 -1.29701126e-21 ...  1.02647583e-22
  6.64121341e-23 -1.66875064e-22]",139.0,138.0,0,610,9.891317849391768
147,"[-4.30556839e-22 -3.30176245e-22 -6.78773642e-22 ...  8.00989164e-24
 -2.13569234e-23 -1.02094996e-23]",79.0,76.974,0,610,5.788129817118007
148,"[-5.72065823e-22 -2.92446927e-22 -6.07900207e-22 ... -6.11798195e-24
  1.12874673e-22 -6.73289934e-23]",149.0,50.0,0,610,5.610697771488176
149,"[-8.57101748e-22 -1.08012831e-21 -7.80948577e-22 ... -2.21051737e-22
 -5.02477256e-24  2.21164647e-23]",138.0,101.0,0,610,7.988083447317782
150,"[ 1.91643487e-22  5.09116755e-22  4.82660207e-22 ...  1.42900728e-23
  2.90788534e-23 -1.50799093e-22]",86.0,43.0,1,610,4.397896873206265
151,"[ 1.92056706e-22  2.57913118e-22  2.21273658e-22 ...  4.73234754e-24
 -1.36980754e-22 -5.12655875e-23]",95.0,85.0,0,610,6.977452629565748
152,"[ 2.67859882e-22  3.63608028e-22  3.95190457e-22 ... -7.26110382e-23
 -1.56485342e-23 -9.89790175e-24]",81.0,27.0,0,610,2.66149605466593
153,"[ 1.98285347e-22  1.65650716e-23  9.20903248e-24 ... -1.93800150e-22
  5.15781092e-23 -1.06037540e-22]",141.0,121.0,0,610,9.728648793417648
154,"[-1.47316774e-23  1.48552882e-22 -1.93576078e-23 ... -8.34817582e-23
  4.66022927e-23 -1.64083457e-22]",20.0,2.0,2,610,0.23571590052100524
155,"[-2.99561116e-22 -5.01021669e-22 -4.33862976e-22 ... -2.15786150e-22
 -4.80689414e-23 -1.21858817e-22]",134.0,97.0,1,610,9.040831346465982
156,"[-4.03184323e-22 -4.73951660e-22 -4.33351281e-22 ...  3.83494526e-23
 -2.11206595e-22  1.48530765e-22]",114.0,95.0,2,610,8.0780784514429
157,"[-2.94808615e-24  6.64367446e-23 -2.57318327e-22 ... -3.14347303e-23
  6.96860580e-23 -5.37089974e-23]",147.0,12.0,0,610,1.3522069569900572
158,"[ 2.16170238e-23  2.70212452e-22  1.34660494e-22 ... -6.03229563e-23
 -6.81245866e-23 -1.44294169e-22]",145.0,10.0,1,610,1.199076866017818
159,"[ 4.28758329e-23  1.42753696e-22 -6.08095777e-23 ... -1.21048473e-22
 -6.99362779e-23  1.64212930e-23]",122.0,23.0,1,610,2.3215556696210444
